Topic,Studies
Fatigue,"Effects of Intestinal Bacterial Hydrogen Gas Production on Muscle Recovery following Intense ...2022 - Intestine - ExcerciseThis study aimed to examine the effects of hydrogen gas (H2) produced by intestinal microbiota on participant conditioning to prevent intense exercise-induced damage. In this double-blind, randomized, crossover study, participants ingested ...

Molecular Hydrogen Mitigates Performance Decrement during Repeated Sprints in Professional Soccer ...2022 - Whole Body - ExcerciseHydrogen-rich water (HRW) supplementation has been shown to have an antifatigue effect across different modes of exercise. However, its effect on repeated sprint performance is unknown. The aim of this study was to assess the effect of pre-exercise ...

Hydrogen-rich water and caffeine for alertness and brain metabolism in sleep-deprived habitual ...2021 - Brain - Sleep DeprivationThe main aim of this randomized-controlled cross-over interventional trial was to assess the acute effects of taking a single dose of hydrogen-rich water (HRW), and compare it with caffeine, HRW plus caffeine, and control water, for alertness, brain ...

Pilot study: Effects of drinking hydrogen-rich water on muscle fatigue caused by acute exercise in ...2012 - Whole Body - ExcerciseBackground: Muscle contraction during short intervals of intense exercise causes oxidative stress, which can play a role in the development of overtraining symptoms, including increased fatigue, resulting in muscle microinjury or inflammation. ..."
Fatty Liver Disease (Alcoholic),
Fatty Liver Disease (Nonalcoholic),High-content hydrogen water-induced downregulation of miR-136 alleviates non-alcoholic fatty liver ...2017 - Liver - Fatty Liver Disease (Nonalcoholic)This study was aimed to investigate the potential regulatory mechanism of high-content hydrogen water (HHW) in non-alcoholic fatty liver disease (NAFLD). A high-fat diet (HFD)-induced NAFLD mice model and cellular model were prepared. The serum ...
Fibrosis,"Hydrogen Rich Water Attenuates Renal Injury and Fibrosis by Regulation Transforming Growth Factor-β ...2017 - Kidney - Acute Kidney InjuryThe current research was designed to study the role of hydrogen in renal fibrosis and the renal epithelial to mesenchymal transition (EMT) induced by transforming growth factor-β1 (TGF-β1). Hydrogen rich water (HW) was used to treat animal and cell ...

Protective Effects of Hydrogen-Rich Saline Against Lipopolysaccharide-Induced Alveolar ...2017 - Lung - Lung InjuryBackground Fibrotic change is one of the important reasons for the poor prognosis of patients with acute respiratory distress syndrome (ARDS). The present study investigated the effects of hydrogen-rich saline, a selective hydroxyl radical scavenger, ...

Hydrogen-Rich Saline Alleviates Kidney Fibrosis Following AKI and Retains Klotho Expression2017 - Kidney - Acute Kidney InjuryPurpose: Acute kidney injury (AKI) is a prominent risk factor for the development of chronic kidney disease (CKD). To date, the related mechanism and effective therapy have not been rigorously explored. The present study aims to investigate the ...

Hepatoprotective effect of electrolyzed reduced water against carbon tetrachloride-induced liver ...2009 - Liver - Liver DiseaseThe study investigated the protective effect of electrolyzed reduced water (ERW) against carbon tetrachloride (CCl(4))-induced liver damage. Male ICR mice were randomly divided into control, CCl(4), CCl(4)+silymarin, and CCl(4)+ERW groups. ..."
Fluke Infection,The immunological effects of electrolyzed reduced water on the Echinostoma hortense infection in ...2009 - Intestine - Parasite InfectionElectrolyzed reduced water (ERW) is widely used for drinking by people in Asia. The purpose of this study was to examine the immunological effect of ERW on the immunity of animals by supplying ERW to C57BL/6 mice infected with Echinostoma hortense ...
Food Poisoning,"Ameliorative Effects of Neutral Electrolyzed Water on Growth Performance, Biochemical Constituents, ...2017 - Whole Body - Food PoisoningDifferent in vitro and in silico approaches from our research group have demonstrated that neutral electrolyzed water (NEW) can be used to detoxify aflatoxins. The objective of this investigation was to evaluate the ability of NEW to detoxify ...

Anti-injury effect of hydrogen-enriched water in a rat model of liver injury induced by aflatoxin B12019 - Liver - Food PoisoningThe purpose of this study was to investigate the anti-injury effect and protective mechanism of hydrogen-enriched water in a rat model of acute liver injury induced by aflatoxin B1 (AFB1). Healthy male Sprague-Dawley (SD) rats were randomly divided ..."
Foot Ulcer,"Evaluation of different type of electrolyzed water against bacterial colonization of diabetic foot ...2020 - Muscle - DiabetesObjective This study aims to evaluate the effect of electrolyzed water effect on bacterial colonization on diabetic foot ulcer (DFU) patients. Method This is an in vitro study. Eight bacteria are incubated into 5 types of electrolyzed water (ESAW), ..."
Fracture,
Gastric Mucosal Injury,Chronic Administration with Electrolyzed Alkaline Water Inhibits Aspirin-induced Gastric Mucosal ...2002 - Stomach - Gastric Mucosal InjuryNeutrophils activation and tumor necrosis factor-α (TNF-α) induction play critical roles in aspirin-induced gastric mucosal injury. The aim of the present study was to determine whether electrolyzed alkaline water (EAW) can ameliorate ...
Gastric Ulcer,
Gastritis,
Gastroenteritis,
Gastroesophageal Reflux Disease,
Gingivitis,"Hydrogen-rich water achieves cytoprotection from oxidative stress injury in human gingival ...2017 - Mouth - GingivitisThe aim of the present study is to investigate protective effects of hydrogen-rich water (HW) against reactive oxygen species (ROS)-induced cellular harmful events and cell death in human gingival fibroblasts (HGF) and three-dimensional (3D-) ...

Antibacterial Activity of Hydrogen-rich Water Against Oral Bacteria2013 - Mouth - GingivitisThere are estimated to be about 700 species of bacteria inthe oral cavity. Based on epidemiological investigations,some of these strains have been proposed as the pathogensresponsible for oral diseases such as dental caries, gingivitisand ..."
Glaucoma,
Glomerulosclerosis,
Graft-Versus-Host-Disease,
Hangover,"Hydrogen Intake Relieves Alcohol Consumption and Hangover Symptoms in Healthy Adults: a Randomized ...2022 - Whole Body - HangoverBackground: Alcohol-induced hangover represents a significant, yet understudied, global hazard and a large socio-economic burden. Objectives: The aim of this study was to investigate the effects of hydrogen (H2) on relieving drinking and hangover ..."
Hearing Loss,"Taurine, Coenzyme Q10, and Hydrogen Water Prevents Germanium Dioxide-Induced Mitochondrial ...2023 - Ear - Hearing LossMitochondrial dysfunction has been implicated in numerous common diseases as well as aging and plays an important role in the pathogenesis of sensorineural hearing loss (SNHL). In the current study, we showed that supplementation with germanium ...

A double-blinded, randomized controlled clinical trial of hydrogen inhalation therapy for idiopathic ...2022 - Ear - Hearing LossBackground: Hydrogen (H2) has been reported to be effective in reducing hearing loss due to several causes in animal studies. However, no study has examined the effectiveness of H2 in treating hearing loss in humans. Thus, we investigated whether H2 ...

Inhalation of hydrogen gas attenuates ouabain-induced auditory neuropathy in gerbils2012 - Ear - Hearing LossAim: Auditory neuropathy (AN) is a hearing disorder characterized by abnormal auditory nerve function with preservation of normal cochlear hair cells. This study was designed to investigate whether treatment with molecular hydrogen (H(2)), which can ...

Saturated hydrogen saline protects against noise–induced hearing loss2011 - Ear - Hearing LossObjective: To study effects of saturated hydrogen saline in preventing noise–induced hearing loss. Methods: Fifteen guinea pigs were randomly divided into 3 groups (5 each), group one was for control, group two was treated with normal saline and ...

Hydrogen in drinking water attenuates noise-induced hearing loss in guinea pigs2011 - Ear - Hearing LossIt has been shown that molecular hydrogen acts as a therapeutic and preventive antioxidant by selectively reducing the hydroxyl radical, the most cytotoxic of the reactive oxygen species. In the present study, we tested the hypothesis that acoustic ...

Hydrogen protects auditory hair cells from free radicals2009 - Ear - Hearing LossReactive oxygen species (ROS) play a role in the degeneration of auditory hair cells because of aging, noise trauma, or ototoxic drugs. Hydrogenation is a fundamental reduction/de-oxidation reaction in living organisms. This study thus examined the ..."
Heart Attack,"Hydrogen Attenuates Myocardial Injury in Rats by Regulating Oxidative Stress and NLRP3 Inflammasome ...2021 - Heart - Heart AttackPurpose: Hydrogen (H2) is an antioxidant with anti-inflammatory and apoptosis functions.This study aimed to estimate the effects of H2 on acute myocardial infarction (AMI) in rats and its association with the inhibition of oxidative stress and ...

Inhalation of hydrogen gas protects against myocardial stunning and infarction in swine2012 - Heart - Heart AttackThe present study was carried out to determine whether inhalation of hydrogen (H(2)) gas protects myocardium against ischemia-reperfusion (I/R) injury in swine. In anesthetized open-chest swine, myocardial stunning was produced by 12-minute occlusion ...

Anti-inflammatory effect of hydrogen-rich saline in a rat model of regional myocardial ischemia and ...2011 - Heart - Heart AttackTo study the possible anti-inflammatory effect of hydrogen-rich saline (H(2) saline) on rat hearts with regional myocardial ischemia and reperfusion (I/R). Sixty-six rats were equally randomized to three groups: sham-operated group, I/R group ...

Hydrogen-rich saline protects myocardium against ischemia/reperfusion injury in rats2009 - Heart - Heart AttackProtective effect of hydrogen (H(2)) gas on cardiac ischemia-reperfusion (I/R) injury has been demonstrated previously. This study was designed to test the hypothesis that hydrogen-rich saline (saline saturated with molecular hydrogen), which is easy ..."
Heart Failure,"Hydrogen-rich saline alleviates cardiomyocyte apoptosis by reducing expression of calpain1 via ...2023 - Heart - Heart FailureAims: Molecular hydrogen has been exhibited a protective function in heart diseases. Our previous study demonstrated that hydrogen-rich saline (HRS) could scavenge free radicals selectively and alleviate the inflammatory response in the myocardial ...

Inhalation of Hydrogen Attenuates Progression of Chronic Heart Failure via Suppression of Oxidative ...2018 - Heart - Heart FailureBackground: Continuous damage from oxidative stress and apoptosis are the important mechanisms that facilitate chronic heart failure (CHF). Molecular hydrogen (H2) has potentiality in the aspects of anti-oxidation. The objectives of this study were ..."
Heat Stress,Electrolysed reduced water decreases reactive oxygen species-induced oxidative damage to skeletal ...2013 - Whole Body - Heat Stress1. The present study was designed to achieve a reduction of reactive oxygen species (ROS)-induced oxidative damage to skeletal muscle and to improve the performance of broiler chickens exposed to chronic heat stress. 2. Chickens were given a control ...
Helicobacter pylori Infection,
Hemolytic Anemia,Therapeutic Effect of Hydrogen Injected Subcutaneously on Onion Poisoned Dogs2017 - Blood - Hemolytic AnemiaThe purpose of this study was to investigate the therapeutic effect of hydrogen on the therapy of onion poisoned dogs. A total of 16 adult beagle dogs were divided into two groups (control and hydrogen) and all were fed dehydrated onion powder at the ...
Hemorrhagic Shock,"Hyperoxygenated hydrogen-rich solution suppresses shock- and resuscitation-induced liver injury2017 - Liver - ShockBackground: It is not known whether simultaneous delivery of hydrogen and oxygen can reduce injury caused by hemorrhagic shock and resuscitation (HSR). This study investigated the therapeutic potential of hyperoxygenated hydrogen-rich solution ...

Protective effects of hydrogen-rich saline in uncontrolled hemorrhagic shock2014 - Whole Body - ShockHydrogen is considered to be a novel antioxidant as it inhibits inflammation, removes oxygen-derived free radicals and reduces oxidative damage. This study investigated the effects of hydrogen-rich saline on plasma interleukin-6 (IL-6), tumor ..."
Hepatitis B,
Hidden Blood Loss,
High Blood Pressure,"Protection of oral hydrogen water as an antioxidant on pulmonary hypertension2013 - Heart - High Blood PressureThis study aimed to explore the protective effect of hydrogen as an antioxidant on monocrotaline (MCT)-induced pulmonary hypertension (PH). Forty-eight SD rats were equally randomized into four groups: SHAM group, MCT group, MCT+Oral-H2 group and ..."
Hypoxia-Ischemia,"Hydrogen-Rich Saline-A Novel Neuroprotective Agent in a Mouse Model of Experimental Cerebral ...2023 - Brain - Brain InjuryBackground: Our previous research revealed that inflammation plays an important role in the pathophysiology of cerebral ischemia. The function of the NOD-like receptor protein 3 (NLRP3) inflammasome is to activate the inflammatory process. Recent ...

Hydrogen therapy after resuscitation improves myocardial injury involving inhibition of autophagy in ...2022 - Heart - Cardiac ArrestHydrogen (H2) therapy is a therapeutic strategy using molecular H2. Due to its ability to regulate cell homeostasis, H2 therapy has exhibited marked therapeutic effects on a number of oxidative stress-associated diseases. The present study ...

Hydrogen therapy reduces apoptosis in neonatal hypoxia-ischemia rat model2008 - Brain - Brain InjuryHypoxia-ischemia (HI) brain injury is a major cause of neuronal cell death especially apoptosis in the perinatal period. This study was designated to examine the effect of hydrogen therapy on apoptosis in an established neonatal HI rat pup model. ...

Neuroprotective Effects of Hydrogen Saline in Neonatal Hypoxia-ischemia Rat Model2008 - Brain - Brain InjuryCerebral hypoxia-ischemia (HI) represents a major cause of brain damage in the term newborn. This study aimed to examine the short and long-term neuroprotective effect of hydrogen saline (H(2) saline) using an established neonatal HI rat pup model. ..."
Immune Dysfunction,
Indigestion,
Infertility,
Inflammation,"Outcomes Assessment of Sustainable and Innovatively Simple Lifestyle Modification at the Workplace ...2020 - Whole Body - InflammationOxidative stress has been associated with many diseases as well as aging. Electrolyzed-reduced water (ERW) has been suggested to reduce oxidative stress and improve antioxidant potential. This study investigated the effects of drinking ERW on ...

Molecular hydrogen protects against oxidative stress-induced RAW 264.7 macrophage cells through the ...2020 - Whole Body - InflammationBackground Oxidative stress is involved in the development of many inflammatory, metabolic and aging diseases.Objective In this study we investigated, the protective effects of H2 on RAW 264.7 macrophage cell against LPS-and H2O2-induced oxidative ...

Heme oxygenase-1 mediates the anti-inflammatory effect of molecular hydrogen in LPS-stimulated RAW ...2013 - Whole Body - InflammationBackground: Molecular hydrogen (H2) as a new medical gas has an anti-inflammatory effect. In the present study, we investigated whether heme oxygenase-1 (HO-1) contributes to the anti-inflammatory effect of H2 in lipopolysaccharide (LPS)-stimulated ..."
Inflammatory Bowel Disease,"Hydrogen-rich water partially alleviate inflammation, oxidative stress and intestinal flora ...2021 - Intestine - Inflammatory Bowel DiseasePurpose: Oxidative damage and intestinal flora dysbiosis play important roles in the progression of chronic ulcerative colitis (UC). This study explored the effect and mechanism of molecular hydrogen in chronic UC. Materials and methods: Male C57BL/6 ..."
Interstitial Cystitis,"Effect of supplementation with hydrogen-rich water in patients with interstitial cystitis/painful ...2013 - Bladder - Painful Bladder SyndromeTo investigate the efficacy of hydrogen-rich water for the treatment of patients with interstitial cystitis/painful bladder syndrome (IC/PBS). We conducted a prospective, randomized, double-blind, placebo-controlled clinical trial of hydrogen-rich ..."
Interstitial Lung Disease,"Efficacy and Safety of Hydrogen Therapy in Patients with Early-Stage Interstitial Lung Disease: A ...2023 - Lung - Interstitial Lung DiseasePurpose: Several in vivo experiments have shown that molecular hydrogen is a promising therapeutic agent for interstitial lung diseases (ILD). In this study, hydrogen therapy was investigated to determine whether it is superior to N-Acetylcysteine ..."
Intervertebral Disc Degeneration,
Intestinal Injury,"Protective effects of hydrogen rich water on the intestinal ischemia/reperfusion injury due to ...2017 - Intestine - Intestinal InjuryThis study aimed to investigate the protective effects of hydrogen rich water on the intestinal ischemia/reperfusion (I/R) injury in a rat intestinal intussusception (II) model. Ninety Sprague-Dawley rats were randomly assigned into three groups (n = ...

Protective effects of hydrogen-rich saline on necrotizing enterocolitis in neonatal rats2013 - Intestine - Intestinal InjuryPurpose: The aim of this study was to test the hypothesis that hydrogen-rich saline (HRS) might have protective effects on the development of necrotizing enterocolitis (NEC) in a neonatal rat model. Methods: NEC was induced in male newborn ...

The Effects of Hydrogen-Rich Saline on the Contractile and Structural Changes of Intestine Induced ...2011 - Intestine - Intestinal InjuryBackground: Hydrogen has been considered as a novel antioxidant that prevents injuries resulted from ischemia-reperfusion (I/R) injury in various tissues. The study was designed to determine the effect of hydrogen-rich saline on the smooth muscle ..."
Intestinal Volvulus,"Protective Effects of Hydrogen-Rich Saline on Experimental Intestinal Volvulus in Rats2022 - Intestine - Surgery/TransplantationBackground: Intestinal volvulus can cause morbidity and mortality. Surgical reduction, on the other hand, could result in ischemia-reperfusion (I/R) injury. Hydrogen rich saline solution (HRSS neutralizes free radicals in the body. This study aimed ..."
Intracranial Hemorrhage,"Hydrogen gas post-conditioning alleviates cognitive dysfunction and anxiety-like behavior in a rat ...2021 - Brain - Brain InjurySubarachnoid hemorrhage (SAH) results in high rates of mortality and lasting disability. Hydrogen gas (H2) is an antioxidant with demonstrated neuroprotective efficacy. The present study examined the therapeutic efficacy of H2 inhalation on early ...

Beneficial effect of hydrogen-rich saline on cerebral vasospasm after experimental subarachnoid ...2012 - Brain - Brain InjuryCerebral vasospasm (CV) remains a common and devastating complication in patients with subarachnoid hemorrhage (SAH). Despite its clinical significance and extensive research, the underlying pathogenesis and therapeutic perspectives of CV remain ..."
Intraocular Pressure,EFFECT OF ACUTE HYDROGEN-RICH WATER INTAKE ON INTRAOCULAR PRESSURE IN HEALTHY SUBJECTS2023 - Eye - Intraocular PressurePurposes: The primary aim of the study was to assess the response of intraocular pressure (IOP) to the acute ingestion of hydrogen-rich water (HRW) compared to hydrogen-free water (placebo) in healthy subjects. The effect of HRW intake on central ...
Iron Overload,
Irritable Bowel Syndrome,"Effects of Alkaline-Reduced Drinking Water on Irritable Bowel Syndrome with Diarrhea: A Randomized ...2018 - Intestine - Irritable Bowel SyndromeObjectives: The purpose of this study was to investigate whether the ingestion of alkaline-reduced water (ARW) is helpful in improving the symptoms of diarrhea-predominant irritable bowel syndrome (IBS). Methods: Twenty-seven patients (male, 25.9%; ..."
Ischemia-Reperfusion Injury,"Hydrogen‑rich saline promotes neuronal recovery in mice with cerebral ischemia through the ...2023 - Brain - StrokeThis study explored the protective effect and mechanism of hydrogen‑rich saline (HRS) on the neurological function of mice with cerebral ischemia. Effects of HRS on neurological function in mice with cerebral ischemia were evaluated by neurological ...

Hydrogen-rich saline alleviates cardiomyocyte apoptosis by reducing expression of calpain1 via ...2023 - Heart - Heart FailureAims: Molecular hydrogen has been exhibited a protective function in heart diseases. Our previous study demonstrated that hydrogen-rich saline (HRS) could scavenge free radicals selectively and alleviate the inflammatory response in the myocardial ...

Hyperbaric oxygen combined with hydrogen-rich saline protects against acute lung injury2023 - Lung - Lung InjuryBackground: This study sought to investigate therapeutic effects of hydrogen-rich saline (HRS) combined with hyperbaric oxygen (HBO2) in an experimental rat model of acute lung injury (ALI). Method: Forty male Sprague-Dawley rats were randomly ...

Combination of Cold Storage in a Heavy Water-Containing Solution and Post-Reperfusion Hydrogen Gas ...2023 - Liver - Surgery/TransplantationWe previously reported the efficacy of cold storage (CS) using a heavy water-containing solution (Dsol) and post-reperfusion hydrogen gas treatment separately. This study aimed to clarify the combined effects of these treatments. Rat livers were ...

Hypothermic Machine Perfusion with Hydrogen Gas Reduces Focal Injury in Rat Livers but Fails to ...2023 - Liver - Surgery/TransplantationBackground: We have previously reported the efficacy of post-reperfusion H2 gas treatment in cold storage (CS) and subsequent reperfusion of the rat liver. The present study aimed to evaluate the effect of H2 gas treatment during hypothermic machine ..."
Kawasaki Disease,
Keratin Plugs,"Electrolytically generated hydrogen warm water cleanses the keratin-plug-clogged hair-pores and ...2018 - Skin - Cosmetic Skin IssuesBiomedical properties of hydrogen water have been extensively investigated, but the effect of hydrogen on good healthy subjects remains unclear. This study was designed to explore the hygiene improvement by electrolytically generated hydrogen warm ..."
Kidney Failure,
Kidney Stones,"UPLC/MS-Based Metabolomics Investigation of the Protective Effect of Hydrogen Gas Inhalation on Mice ...2018 - Kidney - Kidney StonesHydrogen has a significant protective effect on calcium oxalate-induced renal injury, but its effect on metabolic profiles is unknown. This study showed the effects of hydrogen on serum and urine metabolites in a renal injury model. Ultra-HPLC ...

Inhalation of hydrogen gas ameliorates glyoxylate-induced calcium oxalate deposition and renal ...2015 - Kidney - Kidney StonesThe aim of this study is to evaluate the protective effect and underlying mechanism of hydrogen gas (H2) to glyoxylate induced renal calcium oxalate (CaOx) crystal deposition in mice. In present work, rodent renal CaOx crystal deposition model was ..."
Liver Disease,"Hydrogen inhalation ameliorates hepatic inflammation and modulates gut microbiota in rats with ...2023 - Liver - Liver DiseaseNonalcoholic fatty liver disease (NAFLD) is a multisystem metabolic disease associated with gut microflora dysbiosis and inflammation. Hydrogen (H2) is a novel and effective antiinflammatory agent. The present study was aimed to clarify the effects ...

A randomized, placebo-controlled clinical trial of hydrogen/oxygen inhalation for non-alcoholic ...2022 - Liver - Liver DiseaseNon-alcoholic fatty liver disease (NAFLD) is the most common chronic liver disease worldwide with increasing incidence consistent with obesity, type 2 diabetes and cardiovascular diseases. No approved medication was currently available for NAFLD ...

Hydrogen inhalation alleviates nonalcoholic fatty liver disease in metabolic syndrome rats2020 - Liver - Liver DiseaseHydrogen exhibits therapeutic and preventive effects against various diseases. The present study investigated the potential protective effect and dose‑dependent manner of hydrogen inhalation on high fat and fructose diet (HFFD)‑induced ...

Hepatoprotective effect of electrolyzed reduced water against carbon tetrachloride-induced liver ...2009 - Liver - Liver DiseaseThe study investigated the protective effect of electrolyzed reduced water (ERW) against carbon tetrachloride (CCl(4))-induced liver damage. Male ICR mice were randomly divided into control, CCl(4), CCl(4)+silymarin, and CCl(4)+ERW groups. ..."
Liver Failure,
Liver Injury,"A Preliminary Study on the Effect of Hydrogen Gas on Alleviating Early CCl 4-Induced Chronic Liver ...2021 - Liver - Liver InjuryAs a small-molecule reductant substance, hydrogen gas has an obvious antioxidant function. It can selectively neutralize hydroxyl radicals (•OH) and peroxynitrite (ONOO•) in cells, reducing oxidative stress damage. The purpose of this study was ...

Hydrogen-Rich Saline Attenuates Acute Hepatic Injury in Acute Necrotizing Pancreatitis by Inhibiting ...2016 - Liver - Liver InjuryObjectives: The objective of this study was to study the role of hydrogen-rich saline (HRS) on acute hepatic injury (AHI) in acute necrotizing pancreatitis (ANP). Methods: Rats were used for this study and an ANP model was induced by injecting 5% ..."
Lung Contusion,
Lung Injury,"Hyperbaric oxygen combined with hydrogen-rich saline protects against acute lung injury2023 - Lung - Lung InjuryBackground: This study sought to investigate therapeutic effects of hydrogen-rich saline (HRS) combined with hyperbaric oxygen (HBO2) in an experimental rat model of acute lung injury (ALI). Method: Forty male Sprague-Dawley rats were randomly ...

Protective effect of hydrogen-saturated saline on acute lung injury induced by oleic acid in rats2017 - Lung - Lung InjuryBackground The purpose of the study is to investigate the role and mechanisms of hydrogen-saturated saline (HSS) in the acute lung injury (ALI) induced by oleic acid (OA) in rats. Methods Rats were treated with OA (0.1 mL/kg) to induce ALI and then ...

Protective Effects of Hydrogen-Rich Saline Against Lipopolysaccharide-Induced Alveolar ...2017 - Lung - Lung InjuryBackground Fibrotic change is one of the important reasons for the poor prognosis of patients with acute respiratory distress syndrome (ARDS). The present study investigated the effects of hydrogen-rich saline, a selective hydroxyl radical scavenger, ...

Hydrogen-rich saline protects against acute lung injury induced by extensive burn in rat model2011 - Lung - Lung InjuryHydrogen has been reported to selectively quench detrimental reactive oxygen species, particularly hydroxyl radical, and to prevent myocardial or hepatic ischemia/reperfusion injury in multiple models. The aim of this study is to investigate whether ...

Hydrogen-rich saline reduces lung injury induced by intestinal ischemia/reperfusion in rats2009 - Lung - Lung InjuryHydrogen has been reported to selectively reduce the hydroxyl radical, the most cytotoxic of reactive oxygen species. In this study we investigated the effects of hydrogen-rich saline on the prevention of lung injury induced by intestinal ..."
Macular Degeneration,
Mastitis,"Hydrogen helps to ameliorate Staphylococcus aureus-induced mastitis in mice2022 - Breast - MastitisMany studies have shown that hydrogen has anti-inflammatory and anti-oxidant effects. Because of its ability to quickly pass through cell membranes, hydrogen has become a hot spot in the research of inflammatory diseases. Vitamin E glycerin (VEG) and ..."
Maternal Immune Activation,Administration of molecular hydrogen during pregnancy improves behavioral abnormalities of offspring ...2018 - Pregnancy - NeuroprotectionThe aim of the present study was to investigate long-term outcomes of the offspring in a lipopolysaccharide (LPS)-induced maternal immune activation (MIA) model and the effect of maternal molecular hydrogen (H2) administration. We have previously ...
Metabolic Acidosis,"Hydrogen-rich water affected blood alkalinity in physically active men2014 - Whole Body - ExcercisePossible appliance of effective and safe alkalizing agent in the treatment of metabolic acidosis could be of particular interest to humans experiencing an increase in plasma acidity, such as exercise-induced acidosis. In the present study we tested ..."
Metabolic Syndrome,"Hydrogen-rich water decreases serum LDL-cholesterol levels and improves HDL function in patients ...2013 - Whole Body - Metabolic SyndromeWe have found hydrogen (dihydrogen; H2) has beneficial lipid-lowering effects in high-fat diet-fed Syrian golden hamsters. The objective of this study was to characterize the effects of H2-rich water (0.9-1.0 L/day) on the content, composition, and ..."
Motor Deficit,
Multiple Organ Dysfunction Syndrome,"Itraq-Based Quantitative Proteomic Analysis of Lungs in Murine Polymicrobial Sepsis with Hydrogen ...2018 - Lung - SepsisSepsis-associated acute lung injury (ALI), which carries a high morbidity and mortality in patients, has no effective therapeutic strategies to date. Our group has already reported that hydrogen gas (H2) exerts a protective effect against sepsis in ...

Effects of hydrogen-rich saline treatment on polymicrobial sepsis2013 - Whole Body - SepsisBackground: Hydrogen has been reported to selectively reduce hydroxyl radicals and peroxynitrite anion in many pathologic processes. This study aimed to test the hypothesis that hydrogen-rich saline (HRS) may ameliorate organ dysfunction in a rat ..."
Multiple Sclerosis,
Muscular Dystrophy,"Open-label trial and randomized, double-blind, placebo-controlled, crossover trial of ...2011 - Muscle - Muscular DystrophyBackground: Molecular hydrogen has prominent effects on more than 30 animal models especially of oxidative stress-mediated diseases and inflammatory diseases. In addition, hydrogen effects on humans have been reported in diabetes mellitus type 2, ..."
Mycotoxicosis,
Myocardial Necrosis,"Histopathological influence of alkaline ionized water on myocardial muscle of mother rats1999 - Heart - Cardiac DegenerationWe have reported that a marked necrosis and subsequent fibrosis of myocardium occurred among male rats 15 weeks old given alkaline ionized water (AKW) during gestation and suckling periods, and after weaning. In this study, it was examined whether ..."
Necrotizing Enterocolitis,Protective effects of hydrogen-rich saline on necrotizing enterocolitis in neonatal rats2013 - Intestine - Intestinal InjuryPurpose: The aim of this study was to test the hypothesis that hydrogen-rich saline (HRS) might have protective effects on the development of necrotizing enterocolitis (NEC) in a neonatal rat model. Methods: NEC was induced in male newborn ...
Necrotizing Pancreatitis,Hydrogen-Rich Saline Attenuates Acute Hepatic Injury in Acute Necrotizing Pancreatitis by Inhibiting ...2016 - Liver - Liver InjuryObjectives: The objective of this study was to study the role of hydrogen-rich saline (HRS) on acute hepatic injury (AHI) in acute necrotizing pancreatitis (ANP). Methods: Rats were used for this study and an ANP model was induced by injecting 5% ...
Neurodegeneration,"Randomized double-blind placebo-controlled trial of hydrogen inhalation for Parkinson’s ...2021 - Brain - Parkinson's DiseaseBackground: Oxidative stress is involved in the progression of Parkinson's disease (PD). Recent studies have confirmed that molecular hydrogen (H2) functions as a highly effective antioxidant in animal models of PD. A placebo-controlled, randomized, ..."
Neuropathic Pain,"Intrathecal Infusion of Hydrogen-Rich Normal Saline Attenuates Neuropathic Pain via Inhibition of ...2014 - Brain - Neuropathic PainBackground Reactive oxygen and nitrogen species are key molecules that mediate neuropathic pain. Although hydrogen is an established antioxidant, its effect on chronic pain has not been characterized. This study was to investigate the efficacy and ..."
No-Reflow Syndrome,
Non-Alcoholic Steatohepatitis,"Hydrogen-rich water protects liver injury in nonalcoholic steatohepatitis though HO-1 enhancement ...2021 - Liver - Non-Alcoholic SteatohepatitisNonalcoholic steatohepatitis (NASH) could progress to hepatic fibrosis when absence of effective control. The purpose of our experiment was to investigate the protective effect of drinking water with high concentration of hydrogen in our study named ...

Hydrogen-rich water prevents progression of nonalcoholic steatohepatitis and accompanying ...2012 - Liver - Non-Alcoholic SteatohepatitisOxidative stress is a strong contributor to the progression from simple fatty liver to nonalcoholic steatohepatitis (NASH). Molecular hydrogen is an effective antioxidant that reduces cytotoxic reactive oxygen species. In this study, we investigated ..."
Norovirus Infection,
Obesity,"Hydrogen Nano-Bubble Water Suppresses ROS Generation, Adipogenesis, and Interleukin-6 Secretion in ...2021 - Whole Body - ObesityReactive oxygen species (ROS)-induced oxidative stress in adipose tissue is associated with inflammation and the development of obesity-related metabolic disorders. The aim of this study is to investigate the effects of hydrogen nano-bubble water ...

Anti-obesity effect of alkaline reduced water in high fat-fed obese mice2013 - Whole Body - ObesityWhether or not alkaline reduced water (ARW) has a positive effect on obesity is unclear. This study aims to prove the positive effect of ARW in high-fat (HF) diet-induced obesity (DIO) in C57BL/6 mice model. Toward this, obesity was induced by ..."
Obliterative Airway Disease,"Antioxidant Properties of Hydrogen Gas Attenuates Oxidative Stress in Airway Epithelial Cells2021 - Lung - Obliterative Airway DiseaseOxidative stress plays a crucial role in the development of airway diseases. Recently, hydrogen (H2) gas has been explored for its antioxidant properties. This study investigated the role of H2 gas in oxidative stress-induced alveolar and bronchial ..."
Obstructive Jaundice,"Hydrogen-rich saline protects against liver injury in rats with obstructive jaundice2010 - Liver - Obstructive JaundiceHydrogen selectively reduces levels of hydroxyl radicals and alleviates acute oxidative stress in many models. Hydrogen-rich saline provides a high concentration of hydrogen that can be easily and safely applied. In this study, we investigated the ..."
