Topic,Studies
Cosmetic Skin Issues,"Effect and mechanism of hydrogen-rich bath on mice with imiquimod-induced psoriasis2023 - Skin - Cosmetic Skin IssuesThe purpose of this study was to investigate whether hydrogen-rich bath has therapeutic effect on psoriasis and its molecular mechanism. Mice with imiquimod-induced psoriasis were established and divided into groups. The mice were respectively ...

Efficacy of Hydrogen Purification and Cosmetic Acids in the Treatment of Acne Vulgaris: A ...2022 - Skin - Cosmetic Skin IssuesAcne and skin lesions that appear in its course deteriorate the quality of life of patients, cause depression and the emergence of suicidal thoughts. Cosmetic treatments can have a positive effect on improving skin condition by cleaning up skin ...

Hydrogen-rich bath with nano-sized bubbles improves antioxidant capacity based on oxygen radical ...2021 - Skin - Cosmetic Skin IssuesThis study compared the effects of hydrogen-water (HW) bath on the oxygen radical absorption-based antioxidant capacity and the inflammatory indicator, C-reactive protein (CRP), in serum between healthy volunteers and inflammatory/collagen ...

The condition of the hairline of Chinchilla lanigera after the introduction of a hydrogen ...2021 - Skin - Cosmetic Skin IssuesIt was found that the inclusion of water enriched with molecular hydrogen into the diet of a long-tailed chinchilla changed the fur quality indicators. In animals of the experimental group, the guard and downy hairs were thinner than in the control ...

Effects of Topical Hydrogen Purification on Skin Parameters and Acne Vulgaris in Adult Women2021 - Skin - Cosmetic Skin IssuesBackground: Acne vulgaris is a prevalent dermatological disease characterized by skin eruptions, which may decrease the sufferer's quality of life. Hydrogen purification treatment is a new procedure used in cosmetology to improve the skin parameters ...

Effects of hydrogen-rich water bath on visceral fat and skin blotch, with boiling-resistant hydrogen ...2019 - Skin - Cosmetic Skin IssuesHydrogen-dissolved water has been shown to improve diverse oxidation stress-related diseases, which drove us to examine effects of hydrogen-rich water on oxidation stress-related skin troubles and lipid-metabolism markers. The purpose of this study ...

Electrolytically generated hydrogen warm water cleanses the keratin-plug-clogged hair-pores and ...2018 - Skin - Cosmetic Skin IssuesBiomedical properties of hydrogen water have been extensively investigated, but the effect of hydrogen on good healthy subjects remains unclear. This study was designed to explore the hygiene improvement by electrolytically generated hydrogen warm ...

The Efficacy and Tolerability of Electrolyzed Oxidized Water in Treating Mild to Moderate Acne2004 - Skin - Cosmetic Skin IssuesThe purpose of this study was to determine the efficacy and the tolerability of the Charme™ system, a hand-held device that electrolyzes a water-based sodium chloride solution and delivers electrolyzed oxidized water (EOW) to the skin, in the ..."
Dehydration,Hydrogen-rich water ameliorates rat placental stress induced by water restriction2018 - Pregnancy - DehydrationDehydration is one of the intrauterine abnormalities that could lead to fetal growth retardation and to increase the risk of a variety of adult diseases later in life. This study were to determine the impact of hydrogen-rich water (HRW) ...
Dementia,"FoxO1-mediated autophagy plays an important role in the neuroprotective effects of hydrogen in a rat ...2019 - Brain - DementiaVascular dementia (VD) is a heterogeneous group of brain disorders in which cognitive impairment is attributed to cerebrovascular pathologies. Autophagy, a self-cannibalization mechanism, has been demonstrated to be involved in VD progression. ...

Effect of Hydrogen Water Drinking on Dementia Patient through Mechanism of Oxidative Stress and ...2019 - Brain - DementiaHydrogen water (HW) which is produced by electrolysis of water has characteristics of extremely low oxidation-reduction potential (ORP) value and high dissolved hydrogen (DH). It has been proved to have various beneficial effects including ...

Effects of Molecular Hydrogen Assessed by an Animal Model and a Randomized Clinical Study on Mild ...2018 - Brain - DementiaBackground: Oxidative stress is one of the causative factors in the pathogenesis of neurodegenerative diseases including mild cognitive impairment (MCI) and dementia. We previously reported that molecular hydrogen (H2) acts as a therapeutic and ..."
Dentin Integrity,"Influence of the acidity of electrolyzed water on the microhardness of inner layer dentin2019 - Mouth - Dentin IntegrityBackground/purpose: Electrolyzed water has been identified as an effective disinfectant that could represent as an alternative to sodium hypochlorite. Unfortunately, it remains unclear whether the texture or physical properties of dentin are affected ...

Effect of different acidities of electrolyzed water on dentin surface roughness, decalcification and ...2016 - Mouth - Dentin IntegrityThis study investigated the exposed coronal superficial dentin of 28 human molars were immersed in strongly acidic electrolyzed water (AW group), neutral electrolyzed water (NW group), 5% sodium hypochlorite (negative control, NL group), or deionized ...

Cleaning efficacy and dentin micro-hardness after root canal irrigation with a strong acid ...2006 - Mouth - Dentin IntegrityThe purpose of this study was to evaluate the cleaning effect of root canal walls using strong acid electrolytic water (SAEW) as a root canal irrigant, and to investigate the influence of SAEW on the root canal dentin by micro-hardness test. ...

Bactericidal effect of electrolyzed neutral water on bacteria isolated from infected root canals1999 - Mouth - Dentin IntegrityThe purposes of this study were to examine the time-related changes in pH, oxidation-reduction potential, and concentration of chlorine of electrolyzed neutral water and to evaluate the bactericidal effect of electrolyzed neutral water against ..."
Depression,"Treatment with Hydrogen-Rich Water Improves the Nociceptive and Anxio-Depressive-like Behaviors ...2022 - Brain - Neuropathic PainChronic inflammatory pain is manifested in many diseases. The potential use of molecular hydrogen (H2) as a new therapy for neurological disorders has been demonstrated. Recent studies prove its analgesic properties in animals with neuropathic pain, ...

Hydrogen-Rich Water as a Novel Therapeutic Strategy for the Affective Disorders Linked with Chronic ...2022 - Brain - Neuropathic PainNeuropathic pain manifested with allodynia and hyperalgesia usually becomes a chronic condition accompanied with mood disorders. Clinical therapies for neuropathic pain are still unsatisfactory with notable side effects. Recent studies have reported ...

Gender-based differences in neuroprotective effects of hydrogen gas against intracerebral ...2022 - Brain - StrokeBackground: Post-stroke depression (PSD) severely affects recovery in patients with intracerebral hemorrhage (ICH). Although hydrogen gas (H2) exerts excellent neuroprotective effects in patients with ICH, there are sex-based differences in H2 ...

Molecular Hydrogen Prevents Social Deficits and Depression-Like Behaviors Induced by Low-Intensity ...2018 - Brain - Traumatic Brain InjuryDetonation of explosive devices creates blast waves, which can injure brains even in the absence of external injuries. Among these, blast-induced mild traumatic brain injury (bmTBI) is increasing in military populations, such as in the wars in ...

Molecular hydrogen increases resilience to stress in mice2017 - Brain - Stress ResilienceThe inability to successfully adapt to stress produces pathological changes that can lead to depression. Molecular hydrogen has anti-oxidative and anti-inflammatory activities and neuroprotective effects. However, the potential role of molecular ...

Effects of hydrogen-rich water on depressive-like behavior in mice2016 - Brain - Stress ResilienceEmerging evidence suggests that neuroinflammation and oxidative stress may be major contributors to major depressive disorder (MDD). Patients or animal models of depression show significant increase of proinflammatory cytokine interleukin-1β ..."
Dermatitis,"Hydrogen water ameliorates the severity of atopic dermatitis-like lesions and decreases ...2017 - Skin - DermatitisObjectives: To examine the effect of hydrogen water (HW) on the severity of atopic dermatitis (AD) and elucidate the underlying pathophysiological mechanisms. Methods: For this experimental study between March 2015 and December 2015, NC/Nga mice ...

Positive Effects of hydrogen water on 2,4-dinitrochlorobenzene-induced atopic dermatitis in NC/Nga ...2014 - Skin - DermatitisAtopic dermatitis (AD) is a chronically relapsing, pruritic, eczematous skin disorder accompanying allergic inflammation. AD is triggered by oxidative stress and immune imbalance. In the present study, we investigated the effect of drinking hydrogen ...

The Drinking Effect of Hydrogen Water on Atopic Dermatitis Induced by Dermatophagoides farinae ...2013 - Skin - DermatitisHydrogen water (HW) produced by electrolysis of water has characteristics of extremely low oxidation-reduction potential (ORP) value and high dissolved hydrogen (DH). It has been proved to have various beneficial effects including antioxidant and ..."
Dermatophagoides farinae exposure,The Drinking Effect of Hydrogen Water on Atopic Dermatitis Induced by Dermatophagoides farinae ...2013 - Skin - DermatitisHydrogen water (HW) produced by electrolysis of water has characteristics of extremely low oxidation-reduction potential (ORP) value and high dissolved hydrogen (DH). It has been proved to have various beneficial effects including antioxidant and ...
Diabetes (Type I),"Hydrogen Improves Glycemic Control in Type1 Diabetic Animal Model by Promoting Glucose Uptake into ...2013 - Whole Body - Diabetes (Type I)Hydrogen (H(2)) acts as a therapeutic antioxidant. However, there are few reports on H(2) function in other capacities in diabetes mellitus (DM). Therefore, in this study, we investigated the role of H(2) in glucose transport by studying cultured ...

Suppressive effects of natural reduced waters on alloxan-induced apoptosis and type 1 diabetes ...2011 - Pancreas - Diabetes (Type I)Insulin-producing cells express limited activities of anti-oxidative enzymes. Therefore, reactive oxygen species (ROS) produced in these cells play a crucial role in cytotoxic effects. Furthermore, diabetes mellitus (DM) development is closely linked ...

Suppressive effects of electrolyzed reduced water on alloxan-induced apoptosis and type 1 diabetes ...2011 - Pancreas - Diabetes (Type I)Electrolyzed reduced water, which is capable of scavenging reactive oxygen species, is attracting recent attention because it has shown improved efficacy against several types of diseases including diabetes mellitus. Alloxan produces reactive oxygen ...

Effect of Reduced Water on the Apoptotic Cell Death Triggered by Oxidative Stress in Pancreatic β ...2005 - Pancreas - Diabetes (Type I)Recent studies have demonstrated that reactive oxygen species9ROS9and the resulting oxidative stress play an important role in apoptosis. Apoptosis is implicated in pathophysiology of diabetes mellitus. Antioxidants can block or delay apoptosis. We ...

Protective mechanism of reduced water against alloxan-induced pancreatic beta-cell damage: ...2002 - Pancreas - Diabetes (Type I)Reactive oxygen species (ROS) cause irreversible damage to biological macromolecules, resulting in many diseases. Reduced water (RW) such as hydrogen-rich electrolyzed reduced water and natural reduced waters like Hita Tenryosui water in Japan and ..."
Diabetes (Type II),"Real-World Effectiveness and Safety of Hydrogen Inhalation in Chinese Patients with Type 2 Diabetes: ...2023 - Whole Body - Diabetes (Type II)Aim: To evaluate the real-life effectiveness and safety of Chinese patients with type 2 diabetes mellitus (T2DM) receiving hydrogen inhalation (HI) treatment as a supplementary treatment. Methods: This retrospective, multicenter, observational ...

Effectiveness and safety of hydrogen inhalation as an adjunct treatment in Chinese type 2 diabetes ...2023 - Whole Body - Diabetes (Type II)Aim: To analyze the effectiveness and safety of hydrogen inhalation (HI) therapy as an adjunct treatment in Chinese type 2 diabetes mellitus (T2DM) patients in a real-life clinical setting. Methods: This observational, non-interventional, ...

The Effects of Alkaline Ionized Water Administration to the Total Cholesterol Levels in Patients ...2021 - Whole Body - Diabetes (Type II)Background: Total cholesterol is a measure of the total amount of cholesterol components including LDL (low-density lipoprotein), HDL (high-density lipoprotein), and VLDL (very low-density lipoprotein). Alkaline ionized water (AIW) is an electrolyzed ...

Electrolyzed hydrogen-rich water for oxidative stress suppression and improvement of insulin ...2021 - Whole Body - Diabetes (Type II)Introduction: Electrolyzed hydrogen-rich water (EHW) is known to have suppressive effects on oxidative stress (OS). However, its benefit in type 2 diabetes mellitus (T2DM) remains unclear. This study aimed to investigate the effect of EHW on T2DM. ...

The Effects of Alkaline Reduced Water Administration to the Fasting Blood Glucose Levels in Patients ...2020 - Whole Body - Diabetes (Type II)Background: Alkaline reduced water (ARW) is an electrolyzed water with pH>7. It showed an antioxidant and an antidiabetic benefit, but the results still vary. Aim: To investigate the effect of ARW to fasting blood glucose (FBG) and two-hours post ...

Synergistic Effects of Regular Walking and Alkaline Electrolyzed Water on Decreasing Inflammation ...2020 - Whole Body - Diabetes (Type II)Alkaline electrolyzed water (AEW) and walking are strongly recommended for ameliorating oxidative stress and inflammation. Nevertheless, there is a lack of information on the combination of both on alleviating inflammation, oxidative stress, and ...

Influence of natural reduced water on relevant tests parameters and reactive oxygen species ...2006 - Whole Body - Diabetes (Type II)The study examined changes in the relevant tests parameters of 320 diabetes patients (176 female, 144 male) drinking natural reduced water from the 'Nordenau Spring' in Nordenau, Germany as well as the correlation of these changes with the ...

Changes in the Relevant Test Parameters of 101 Diabetes Patients under the Influence of the ...2002 - Whole Body - Diabetes (Type II)The study examined changes in the test parameters of 101 diabetes patients (56 female, 45 male) under the influence of what is known as the “Nordenau Phenomenon”, which attributes a healing effect to an old slate tunnel with an underground ...

Anti-Oxidative Water Improves Diabetes2001 - Whole Body - Diabetes (Type II)Electrolyzed reduced water and natural waters such as Hita Tenryosui water in Japan, Nordenau water in Germany and Tracote water in Mexico, which are known to improve various diseases, were all and- oxidative waters which could scavenge intracellular ...

Electrolyzed and Natural Reduced Water Exhibit Insulin-Like Activity on Glucose Uptake into Muscle ...1999 - Whole Body - Diabetes (Type II)In the type 2 diabetes, it has become clear that reactive oxygen species (ROS) cause reduction of glucose uptake by inhibiting the insulin-signaling pathway in muscle cells and adipocytes. We demonstrated that electrolyzed-reduced water (ERW) ..."
Diabetic Nephropathy,"Hydrogen water therapy in histopathological improvement of diabetic nephropathy on ...2021 - Kidney - DiabetesDiabetic nephropathy (DN) is a renal microvascular abnormality resulting from chronic complications of diabetes mellitus (DM). The main cause of DN is a chronic condition of hyperglycemia which induces oxidative stress in the microvascular system and ...

Hydrogen-rich water inhibits glucose and α,β -dicarbonyl compound-induced reactive oxygen species ...2012 - Kidney - Diabetes (Type II)Reactive oxygen species (ROS) production induced by α,β-dicarbonyl compounds and advanced glycation end products causes renal dysfunction in patients with type 2 diabetes and metabolic syndrome. Hydrogen-rich water (HRW) increases the H2 level in ..."
Diabetic Peripheral Neuropathy,"Hydrogen exerts neuroprotective effects by inhibiting oxidative stress in experimental diabetic ...2023 - Brain - DiabetesDiabetic peripheral neuropathy (DPN) is a complex disorder caused by long-standing diabetes. Oxidative stress was considered the critical creed in this DPN pathophysiology. Hydrogen has antioxidative effects on diabetes mellitus and related ...

Protective effects of hydrogen‑rich saline against experimental diabetic peripheral neuropathy via ...2020 - Brain - DiabetesIt has previously been demonstrated that hyperglycemia‑induced oxidative stress and inflammation are closely associated with the development of diabetic complications, including diabetic neuropathy. Additionally, mitochondrial ATP‑sensitive ...

Hydrogen‑rich medium alleviates high glucose‑induced oxidative stress and parthanatos in rat ...2018 - Brain - DiabetesDiabetic peripheral neuropathy (DPN) is considered to be the most common cause of microvascular diabetic complications, for which no effective therapies currently exist. Previous studies have identified that oxidative stress is the common pathway in ...

Protective effect of hydrogen‑rich medium against high glucose‑induced apoptosis of Schwann ...2015 - Brain - DiabetesDiabetic peripheral neuropathy (DPN) is considered to be one of the most prevalent and life threatening microvascular diabetic complications. DPN affects up to 50% of patients with diabetes mellitus and there are currently no efficacious therapeutic ..."
Diabetic Retinopathy,"Molecular hydrogen regulates the expression of miR-9, miR-21 and miR-199 in LPS-activated retinal ...2013 - Eye - DiabetesAim: To explore the potential mechanism of molecular hydrogen in the regulation of miRNA expression and signal-modulating activities. Methods: Retinal microglia cells were activated by Lipopolysaccharides (LPS) and then treated with ...

Hydrogen-Rich Saline Prevents Early Neurovascular Dysfunction Resulting from Inhibition of Oxidative ...2013 - Eye - DiabetesPurpose: Diabetic retinopathy (DR) is characterized by increased oxidative and nitrosative stress, both of which lead to neurotoxicity and vascular permeability. Previous studies on a variety of organs indicate that hydrogen-rich saline not only has ...

Protective Effects of Hydrogen Saline on Diabetic Retinopathy in a Streptozotocin-Induced Diabetic ...2012 - Eye - DiabetesDiabetic retinopathy is the leading cause of blindness in the working population of the developed countries and also a significant cause of blindness in the elderly. This study aimed at examining the protective effect of H(2) saline on diabetic ..."
Diarrhea,"Effects of Alkaline-Reduced Drinking Water on Irritable Bowel Syndrome with Diarrhea: A Randomized ...2018 - Intestine - Irritable Bowel SyndromeObjectives: The purpose of this study was to investigate whether the ingestion of alkaline-reduced water (ARW) is helpful in improving the symptoms of diarrhea-predominant irritable bowel syndrome (IBS). Methods: Twenty-seven patients (male, 25.9%; ..."
Diffuse Axonal Injury,"Changes of immuno-inflammatory responses by intraperitoneal injection of hydrogen after diffuse ...2015 - Brain - Traumatic Brain InjuryTo explore the role of immuno-inflammatory reaction in diffuse axonal injury (DAI) and the therapeutic action of hydrogen in DAI model. Methods Totally 96 adult male SD rats were divided into 8 groups (n=12 in each): normal group, sham group, DAI ...

Attenuation of diffuse axonal injury by intraperitoneal injection of hydrogen via reducing oxidative ...2014 - Brain - Traumatic Brain InjuryTo investigate the role of oxidative stress in diffuse axonal injury (DAI) and the therapeutic action of hydrogen in DAI models. Methods Totally 118 adult male SD rats were divided into 3 groups with 39 in each: sham, DAI, and DAI + hydrogen ..."
Disuse Atrophy,"Therapeutic Potential of Hydrogen-Rich Water on Muscle Atrophy Caused by Immobilization in a Mouse ...2023 - Muscle - Disuse AtrophySkeletal muscle atrophy is associated with poor quality of life and disability. Thus, finding a new strategy for the prevention and treatment of skeletal muscle atrophy is very crucial. This study aimed to investigate the therapeutic potential of ...

Effect of Molecular Hydrogen Saturated Alkaline Electrolyzed Water on Disuse Muscle Atrophy in ...2011 - Muscle - Disuse AtrophyThe objectives of this paper were to determine the level of oxidative stress in atrophied gastrocnemius, and to verify the effect of molecular hydrogen (H2) saturated alkaline electrolyzed water (HSW) on gastrocnemius atrophy by modifying the redox ..."
Dry Eye,"Randomized, crossover clinical efficacy trial in humans and mice on tear secretion promotion and ...2021 - Eye - Dry EyeThe incidence of dry eye disease is increasing worldwide because of the aging population and increasing use of information technology. Dry eye disease manifests as tear-layer instability and inflammation caused by osmotic hypersensitization in tear ..."
Dyslipidemia,"Suppressive Effect of ERW on Lipid Peroxidation and Plasma Triglyceride Level2010 - Whole Body - DyslipidemiaElectrolyzed reduced water (ERW) containing hydrogen molecules and Pt nanoparticles is expected as a new antioxidant. Thiobarbituric acid reactive substances (TBARS) assay revealed that ERW had an inhibitory effect on the oxidation of low-density ...

The Suppressive Effect of Electrolyzed Reduced Water on Lipid Peroxidation2003 - Whole Body - DyslipidemiaWe examined the suppressive effect on lipid peroxidation of electrolyzed reduced water (ERW), which exhibited reactive oxygen species (ROS)-scavenging activity in vitro and in cultured cells. The oxidation of linoleic acid by 2, 2’-azobis ..."
Dyspnea,"Hydrogen/oxygen mixed gas inhalation improves disease severity and dyspnea in patients with ...2020 - Lung - SARS/COVIDNo abstract available

Patient-Reported Health Outcomes After Treatment of COVID-19 with Nebulized and/or Intravenous ...2020 - Lung - SARS/COVIDBackground: Coronavirus disease (COVID-19) is currently the main public health problem worldwide. The administration of neutral electrolyzed saline, a solution that contains reactive species of chlorine and oxygen (ROS), may be an effective ..."
Edema,"Effects of hydrogen-rich water on the expression of aquaporin 1 in the cerebral cortex of rat with ...2016 - Brain - Traumatic Brain InjuryObjective: To investigate the effect of hydrogen-rich water on cerebral edema and aquaporin 1 (AQP1) expression in rats with traumatic brain injury (TBI). Methods: Ninety male Sprague-Dawley (SD) rats were randomly divided into sham operation group, ...

Molecular hydrogen in drinking water protects against neurodegenerative changes induced by traumatic ...2014 - Brain - Traumatic Brain InjuryTraumatic brain injury (TBI) in its various forms has emerged as a major problem for modern society. Acute TBI can transform into a chronic condition and be a risk factor for neurodegenerative diseases such as Alzheimer's and Parkinson's diseases, ..."
Encapsulating Peritoneal Sclerosis,Successful Treatment of Encapsulating Peritoneal Sclerosis by Hemodialysis and Peritoneal Lavage ...2015 - Peritonium - Peritoneal DialysisNo abstract available
Encephalopathy,"Hydrogen-rich saline regulates NLRP3 inflammasome activation in sepsis-associated encephalopathy rat ...2023 - Brain - SepsisSepsis-associated encephalopathy (SAE) is characterised by long-term cognitive impairment and psychiatric illness in sepsis survivors, associated with increased morbidity and mortality. There is a lack of effective therapeutics for SAE. Molecular ...

Hydrogen alleviated cognitive impairment and blood‒brain barrier damage in sepsis-associated ...2023 - Brain - SepsisHydrogen (H2) can protect against blood‒brain barrier (BBB) damage in sepsis-associated encephalopathy (SAE), but the mechanism is still unclear. We examined whether it is related to PPARα and its regulatory targets, ABC efflux transporters. After ...

Hydrogen regulates mitochondrial quality to protect glial cells and alleviates sepsis-associated ...2023 - Brain - SepsisBackground: Sepsis-associated encephalopathy (SAE) is a complication of the central nervous system in patients with sepsis. Currently, no effective treatment for sepsis is available. Hydrogen plays a protective role in different diseases; however, ...

Molecular hydrogen attenuates sepsis-induced cognitive dysfunction through regulation of tau ...2023 - Brain - SepsisBackground: Sepsis-associated encephalopathy (SAE) is a cognitive dysfunction caused by sepsis. Hyperphosphorylated tau is considered to play a significant role in the progression of neurodegenerative disease and also contributes to cognitive ...

Effects of hydrogen-rich saline in neuroinflammation and mitochondrial dysfunction in rat model of ...2022 - Brain - SepsisBackground: Sepsis-associated encephalopathy (SAE) is one of the most common types of sepsis-related organ dysfunction without overt central nervous system (CNS) infection. It is associated with higher mortality, low quality of life, and long-term ...

Molecular hydrogen attenuates sepsis-induced neuroinflammation through regulation of microglia ...2020 - Brain - SepsisSepsis-associated encephalopathy (SAE) is the cognitive impairment resulting from sepsis and is associated with increased morbidity and mortality. Hydrogen has emerged as a promising therapeutic agent to alleviate SAE. The mechanism, however, remains ...

Protective effects of inhaled hydrogen gas on cognitive function in mice with sepsis-associated ...2014 - Brain - SepsisTo evaluate protective effects of inhaled hydrogen gas (H2) on cognitive function in a murine model of sepsis-associated encephalopathy (SAE). A total of 84 male ICR mice, weighing 20-25 g, aged 6-8 weeks, were randomly divided into 4 groups of sham, ...

Inhalation of hydrogen gas attenuates brain injury in mice with cecal ligation and puncture via ...2014 - Brain - SepsisDuring the development of sepsis, the complication in central nervous system (CNS), appearing early and frequently relative to other systems, can obviously increase the mortality of sepsis. Moreover, sepsis survivors also accompany long-term ...

Hydrogen-rich saline reverses oxidative stress, cognitive impairment, and mortality in rats ...2012 - Brain - SepsisBackground: Sepsis is associated with high morbidity and mortality, and survivors can present with cognitive dysfunction. The present study was performed to investigate the effects of hydrogen-rich saline (HRS) on oxidative stress in the brain, ...

Molecular hydrogen reduces LPS-induced neuroinflammation and promotes recovery from sickness ...2012 - Brain - SepsisMolecular hydrogen has been shown to have neuroprotective effects in mouse models of acute neurodegeneration. The effect was suggested to be mediated by its free-radical scavenger properties. However, it has been shown recently that molecular ..."
Endometriosis,Effects of Hydrogen Gas Inhalation on Endometriosis in Rats2016 - Uterus - EndometriosisObjective: Oxidative stress is generated during the pathophysiology of endometriosis (EMT). Hydrogen (H2) has been demonstrated as a gas antioxidant. The aim of the present study is to evaluate the protective effect of H2 on EMT in rats. Study ...
Endothelial Dysfunction,"Molecular Hydrogen Reduces the Degree of Endothelial Alteration under Conditions of Chronic Heart ...2023 - Heart - Chronic Heart FailureWe studied the effect of molecular hydrogen H2 on the content of circulating endothelial cells and the macrohistological structure of the heart in rats with simulated chronic heart failure. Inhalation with 2% H2 was carried out repeatedly (40 min per ...

Molecular hydrogen protects mice against polymicrobial sepsis by ameliorating endothelial ...2015 - Endothelium - SepsisEndothelial injury is a primary cause of sepsis and sepsis-induced organ damage. Heme oxygenase-1 (HO-1) plays an essential role in endothelial cellular defenses against inflammation by activating nuclear factor E2-related factor-2 (Nrf2). We found ..."
Endotoxemia,"Hydrogen Attenuates Endotoxin-Induced Lung Injury by Activating Thioredoxin 1 and Decreasing Tissue ...2021 - Lung - Lung InjuryEndotoxin-induced lung injury is one of the major causes of death induced by endotoxemia, however, few effective therapeutic options exist. Hydrogen inhalation has recently been shown to be an effective treatment for inflammatory lung injury, but the ...

Effects of Post-Treatment Hydrogen Gas Inhalation on Uveitis Induced by Endotoxin in Rats2018 - Eye - Uveal InjuryBACKGROUND Molecular hydrogen (H2) has been widely reported to have benefiicial effects in diverse animal models and human disease through reduction of oxidative stress and inflammation. The aim of this study was to investigate whether hydrogen gas ...

Effects of hydrogen-rich saline on endotoxin-induced uveitis2017 - Eye - Uveal InjuryThe therapeutic effects of hydrogen-rich saline (HRS) have been reported for a wide range of diseases mainly via selectively reducing the amount of reactive oxygen species. Oxidative stress plays an important role in the pathogenesis of uveitis and ...

Preadministration of Hydrogen-Rich Water Protects Against Lipopolysaccharide-Induced Sepsis and ...2017 - Liver - SepsisDespite significant advances in antibiotic therapy and intensive care, sepsis remains the most common cause of death in intensive care units. We previously reported that molecular hydrogen (H2) acts as a therapeutic and preventive antioxidant. Here, ...

Molecular hydrogen inhibits lipopolysaccharide-triggered NLRP3 inflammasome activation in ...2016 - Whole Body - ROS-ScavengingThe NLRP3 inflammasome, an intracellular multi-protein complex controlling the maturation of cytokine interleukin-1β, plays an important role in lipopolysaccharide (LPS)-induced inflammatory cascades. Recently, the production of mitochondrial ...

Saturated Hydrogen Saline Attenuates Endotoxin-Induced Acute Liver Dysfunction in Rats2013 - Liver - SepsisTo determine the effect of saturated hydrogen saline on lipopolysaccharide (LPS)-induced acute liver dysfunction, rats were divided into control, LPS, and LPS plus saturated hydrogen saline (LPS+H(2)) groups. Treatment with saturated hydrogen saline ..."
Enteropathy,"Ameliorating Role of Hydrogen-Rich Water Against NSAID-Induced Enteropathy via Reduction of ROS and ...2022 - Intestine - EnteropathyBackground: Nonsteroidal anti-inflammatory drug (NSAID)-induced enteropathy, the mechanism of which is involved in oxidative stress, can be lethal due to hemorrhage. Thus, we aimed to investigate the effect of hydrogen-rich water (HRW), in terms of ..."
Epithelial Dysfunction,"Alkaline Reduced Water Attenuates Oxidative Stress-Induced Mitochondrial Dysfunction and Innate ...2021 - Intestine - Epithelial DysfunctionRedox imbalance in intestinal epithelial cells is critical in the early phases of intestinal injury. Dysfunction of the intestinal barrier can result in immunological imbalance and inflammation, thus leading to intestinal syndromes and associated ..."
Erectile Dysfunction,Protective Effects of Hydrogen-Rich Saline Against Erectile Dysfunction in a Streptozotocin Induced ...2013 - Penis - Diabetes (Type II)Purpose: Hydrogen has antioxidative stress and anti-inflammatory effects. We investigated the effect of hydrogen on erectile dysfunction in streptozotocin induced diabetic rats. Materials and methods: Diabetes was induced in Sprague-Dawley® rats by ...
Erythema,Hydrogen (H2) treatment for acute erythymatous skin disease. A report of 4 patients with safety data ...2012 - Skin - ErythemaWe have treated 4 patients of acute erythematous skin diseases with fever and/or pain by H2 enriched intravenous fluid. We also added data from two volunteers for assessing the mode of H2 delivery to the skin for evaluation of feasibility of H2 ...
