First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Country
"Xu, Shuo","Xing, Zerong","Liu, Jing",Electrolytic water technology based on transformable and amorphous liquid metal electrodes,2022,Applied Research,10.1002/appl.202200014,"Hydrogen has important values in industrial manufacture, medical health care and diverse energy application areas. Among the many possible approaches, convenient and safe hydrogen production from water electrolysis has always been a preferred in‐situ hydrogen supply technology. So far, many of the electrodes thus involved are based on rigid metals or conductive items which may encounter inconvenience or insufficiency sometimes. In order to achieve targeted release of hydrogen, appropriate administration of suitable flexible hydrogen evolution electrodes is the key. In recent years, gallium‐based liquid metals have emerged in the field of flexible and biological electrodes. Starting from this point, liquid metal is proposed here as a transformable amorphous electrode for hydrogen evolution in electrolytic water which may help mold new conceptual electrolysis and energy utilization ways. The electrochemical performances and flexible behaviors lying behind are investigated and clarified. According to the experiments, the catalytic activity of the liquid metal itself generally is not remarkable, but it would be significantly improved after being composited with certain active materials such as nickel. Further, the controllability, flexibility, and adaptability of liquid metal‐based amorphous materials which are unmatched by other electrode materials were evaluated. Overall, the motions of such shape transformable liquid metal electrodes could be controlled by electric or magnetic fields, and their deformations are compliantly adaptive to different spaces. This might easily expand the area of hydrogen evolution and lead to multi‐site in‐situ hydrogen production. The present study demonstrates the value of liquid metals in flexible energy systems and opens up more application possibilities for the electrolytic hydrogen production. This article is protected by copyright. All rights reserved.",China
"Chatenet, Marian","Pollet, Bruno G.; Dekel, Dario R.; Dionigi, Fabio; Deseure, Jonathan; Millet, Pierre; Braatz, Richard D.; Bazant, Martin Z.; Eikerling, Michael; Staffell, Iain; Balcombe, Paul; Shao-Horn, Yang","Schafer, Helmut",Water electrolysis: from textbook knowledge to the latest scientific strategies and industrial developments ,2022,Chemical Society Reviews,10.1039/d0cs01079k ,"Replacing fossil fuels with energy sources and carriers that are sustainable, environmentally benign, and affordable is amongst the most pressing challenges for future socio-economic development. To that goal, hydrogen is presumed to be the most promising energy carrier. Electrocatalytic water splitting, if driven by green electricity, would provide hydrogen with minimal CO2 footprint. The viability of water electrolysis still hinges on the availability of durable earth-abundant electrocatalyst materials and the overall process efficiency. This review spans from the fundamentals of electrocatalytically initiated water splitting to the very latest scientific findings from university and institutional research, also covering specifications and special features of the current industrial processes and those processes currently being tested in large-scale applications. Recently developed strategies are described for the optimisation and discovery of active and durable materials for electrodes that ever-increasingly harness first-principles calculations and machine learning. In addition, a technoeconomic analysis of water electrolysis is included that allows an assessment of the extent to which a large-scale implementation of water splitting can help to combat climate change. This review article is intended to cross-pollinate and strengthen efforts from fundamental understanding to technical implementation and to improve the 'junctions' between the field's physical chemists, materials scientists and engineers, as well as stimulate much-needed exchange among these groups on challenges encountered in the different domains. ",France
"Tanaka, Yoshinori","Uchinashi, Sakae; Saihara, Yasuhiro; Kikuchi, Kenji; Okaya, Takuji","Ogumi, Zempachi",Dissolution of hydrogen and the ratio of the dissolved hydrogen content to the produced hydrogen in electrolyzed water using SPE water electrolyzer,2003,Electrochimica Acta,10.1016/S0013-4686(03)00541-3,"Concentration of dissolved hydrogen in electrolyzed water using a solid polymer electrolyte (SPE) water electrolyzer was investigated using a DH-meter. A ratio of the dissolved hydrogen content to an amount of hydrogen concentration calculated from charge passed during electrolysis was estimated. The ratio increased from 10 to 20% with a decrease in current density from 3.0 to 0.3 A dm−2. The effect of the linear velocity of water on the ratio of dissolved hydrogen was studied. The cross-sectional area of the water channel was changed to change the linear velocity of water. The ratio of dissolved hydrogen increased with increasing the velocity. Due to the fast mass transport by high velocity, the small hydrogen bubbles are fast transferred by the diffusion into the bulk water and dissolved. The population density of the small hydrogen bubbles is found to have an effect on the ratio of the dissolving hydrogen.",Japan
"Hiraoka, Atsushi","Inaba, Hitomi; Suzuki, Eri; Kasai, Kazuto; Suzuki, Hikaru; Shinohara, Atsuko; Shirao, Mika; Kubo, Koshi","Yoshimura, Yoshihiro","In Vitro Physicochemical Properties of Neutral Aqueous Solution Systems (Water Products as Drinks) Containing Hydrogen Gas, 2-Carboxyethyl Germanium Sesquioxide, and Platinum Nanocolloid as Additives",2010,Journal of Health Science,10.1248/jhs.56.167,"We studied the in vitro antioxidant activities of neutral aqueous solution systems (water products marketed as drinks) containing hydrogen gas (H2), 2-carboxyethyl germanium sesquioxide (Ge-132), and platinum (Pt) nanocolloid as additives. We evaluated the abilities of these aqueous solutions to inhibit the oxidation of biomolecules catalyzed by an enzyme and induced by reactive oxygen species (ROS) and also to scavenge ROS directly using electron spin resonance (ESR) spectrometry. The concentrations of inorganic elements including Ge and Pt were measured by inductively coupled plasma-mass spectrometry (ICP-MS) and inductively coupled plasma-atomic emission spectrometry (ICP-AES). All the water products examined more or less inhibited the oxidation of 3,4-dihydroxyphenylalanine by tyrosinase and that of L-histidine in an L-ascorbic acid/Cu2+ reaction system. The results of ICP-MS and ICP-AES analyses revealed that Ge, Pt, and some major minerals existed in the water products at concentrations approximately equivalent to those reported by their manufacturers. The ESR spectra indicated that the dissolved Ge-132 molecules and the supplemented Pt nanocolloid particles reduced hydroxyl and superoxide anion radicals. However, under the conditions employed, aqueous H2 did not display such a scavenging ability for these ROS. Our results suggest that H2, Ge-132 and Pt nanocolloid dissolved or supplemented in neutral aqueous media exhibited antioxidant activities in vitro due to the direct scavenging of ROS and/or by other mechanisms. ",Japan
"Shen, Muzhong","Bennett, Nick; Ding, Yulong","Scott, Keith",A concise model for evaluating water electrolysis,2011,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2010.12.029,"To evaluate water electrolysis in hydrogen production, a concise model was developed to analyze the current–voltage characteristics of an electrolytic cell. This model describes the water electrolysis capability by means of incorporating thermodynamic, kinetic and electrical resistance effects. These three effects are quantitatively expressed with three main parameters; the thermodynamic parameter which is the water dissociation potential; the kinetic parameter which reflects the overall electrochemical kinetic effect of both electrodes in the electrolytic cell, and the ohmic parameter which reflects the total resistance of the electrolytic cell. Using the model, different electrolytic cells with various operating conditions can be conveniently compared with each other. The modeling results are found to agree well with experimental data and previous published work.",United Kingdom
"Kikuchi, Kenji","Nagata, Shoichi; Tanaka, Yoshinori; Saihara, Yasuhiro","Ogumi, Zempachi",Characteristics of hydrogen nanobubbles in solutions obtained with water electrolysis,2007,Journal of Electroanalytical Chemistry,10.1016/j.jelechem.2006.10.005,A solution supersaturated with hydrogen obtained by water electrolysis was studied using cyclic voltammetry. The cyclic voltammogram of the solution supersaturated with hydrogen gave a peak current at −0.1 V vs. Ag∣AgCl. No peak current in a solution saturated with hydrogen was observed by bubbling hydrogen gas through the solution. The peak current was influenced by the temperature and ion type of the electrolyte. The peak current was found to be due to the presence of hydrogen nanobubbles. The peak current increased with increasing hydrogen nanobubble concentration and decreased to zero within 3 h after electrolysis.,Japan
"Schafer, Helmut","Schuster, Anja; Kunis, Stefan; Bookholt, Tim; Hardege, Jorg; Ruewe, Klara","Brune, Julia",The readiness of water molecules to split into hydrogen + oxygen: a proposed new aspect of water splitting ,2023,Advanced Materials,10.1002/adma.202300099 ,"The potential of the anode, at which the evolution of oxygen begins, is a key parameter that describes how well water is split in water electrolyzers. Research efforts related to electrocatalytically initiated water splitting that aimed at reducing the oxygen evolution reaction (OER) overpotential to date focused on the optimization of materials used to produce the electrodes. Descriptors for the readiness of the H2 O molecule itself to break down into its components have not been considered in water electrolysis experiments so far. In a simple set of experiments, we found that adding dioxane to aqueous solutions leads to a substantial blue shift of the frequency of the O-H stretch vibration which is a sign for an increased strength of the O-H bond (intramolecular bonding). This phenomenon coincides with a significant increase of the OER onset potential as derived from cyclic voltammetry experiments. Thus, the O-H stretch frequency can be an ideal indicator for the readiness of water molecules to be split in its cleavage products. To our knowledge this is the first example of a study into the relationship between structural features of water as derived from FTIR spectroscopic studies, and key results derived from water electrolysis experiments. This article is protected by copyright. All rights reserved. ",Germany
"Yurt, Bayram",,,Effect of Hydrogen-Enriched Solvents on the Extraction of Phytochemicals in Propolis ,2023,ACS Omega,10.1021/acsomega.3c01673 ,"Propolis, one of the most important bee products, cannot be used in its raw form. The efficiency of the bioactive components of propolis increases with the extraction process. The choice of solvent to be used in the extraction of propolis is effective in determining the properties of the extract. Ethanol is the most widely used solvent, which significantly increases the efficiency of its bioactive components in the extraction of propolis. Effective nonalcohol-based extraction techniques have become important since alcohol-based extracts cause some discomfort and cannot be used in people with alcohol intolerance. The use of water in propolis extraction is less preferred than ethanol because it does not thoroughly dissolve the bioactive components. In this study, the effect of incorporating hydrogen into solvents (water, ethanol, and methanol) on the extraction of total phenolic content, total flavonoid content, antioxidant activities, and phenolic compound profile of the propolis sample was evaluated. Incorporation of H2 into water, ethanol, and methanol led to an increase in total phenolic content by 19.08, 5.43, and 12.71% and in the total flavonoid content by 28.97, 17.13, and 2.06%, respectively. Besides, the highest increases in 2,2-diphenyl-1-picrylhydrazyl (DPPH) and 2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid (ABTS) scavenging activities were observed in hydrogen-rich water (4.4%) and hydrogen-rich ethanol (32.4%) compared to their counterparts, respectively. On the other hand, incorporation of H2 into different solvents led to significant increases in different phenolics, and it was observed that the level of change was dependent on the type of the phenolic compound and the solvent used. This study is important in terms of using hydrogen-enriched solvents to extract phenolics from propolis for the first time. Using hydrogen-rich solvents, specifically hydrogen-rich water, was observed to be an effective method for the improvement of phytochemical extraction efficiency in propolis. ",Turkey
"Alwazeer, Duried",,,Hydrogen-rich solvent method in phytochemical extraction: Potential mechanisms and perspectives,2023,Phytochemical Analysis,10.1002/pca.3304 ,"Introduction: Phytochemicals are used in many products, including foods, beverages, pharmaceuticals, and cosmetics. The extraction of phytochemicals is considered one of the best solutions to valorize these underestimated materials. Many methods have been developed to efficiently extract phytochemicals at high quality, high purity, and low costs without harming the environment. Recently, molecular hydrogen (H2 ) has shown its ability to improve the extraction of phytochemicals from plant materials. Due to its unique physicochemical and biological properties, H2 showed an efficient ability to extract phenolics and antioxidants at high yields with cost-effective potential. Without sophisticated equipment and high energy and solvent consumption, the hydrogen extraction method is a green and applicable alternative for the extraction of phytochemicals. Objectives: This review aims to provide the latest knowledge and results concerning the studies on using hydrogen-rich solvents to extract phytochemicals from different agri-food wastes, by-products, and other plant materials. Materials and methods: Recent literature relating to extracting phytochemicals by the hydrogen-rich solvent method and its potential mechanisms is summarized to provide a basic understanding of how hydrogen can improve the extraction of phytochemicals. Results: This review describes, for the first time, the practical procedure of how researchers and laboratories can apply the hydrogen extraction method under safe conditions at a low-budget scale. The review provides some examples of the hydrogen extraction method and the mechanisms and rationale behind its effectiveness. Conclusions: It can be concluded that the hydrogen-rich solvent method is a green and cost-effective method for extracting phytochemicals from different plant materials. Keywords: agri-food wastes; extraction; hydrogen-rich solvent; molecular hydrogen; phytochemicals. ",Turkey
"Zor, Melek","Bulut, Menekse; Karagoz, Sermin Goksu; Cetintas, Yunus","Alwazeer, Duried",Use of Hydrogen-Rich water in rice milk preparation improves the nutritional and sensory properties of product ,2023,Food Chemistry,10.1016/j.foodchem.2023.137821 ,"The effect of using hydrogen-rich water (HRW) in the preparation of rice milk on the nutritional and sensorial properties was evaluated. The physicochemical parameters (pH, Eh7, titratable acidity), sensory properties (color), and minerals (ICP-MS), as well as amino acid (UPLC-ESI-MS/MS), sugar (HPLC-RID), and aroma (SPME-GC/MS) profiles, of four varieties of rice and their milk and waste were examined using Principal Component Analysis (PCA). Results showed that the profile of minerals, sugars, amino acids, and aroma was affected by the use of HRW. HRW-treated milk showed an increase in some essential minerals (Na, Mg, K, Ca, and Se) in some rice varieties. While HRW application enhanced the levels of desirable aroma compounds in milk but not the undesirable ones. This use of HRW allowed to increase in some essential amino acids (Ile, Leu, and Met) in HRW-treated rice milk samples. ",Turkey
"Su, Hongqian","Sun, Jindong; Wang, Caizhu","Wang, Haofeng",Temperature impacts on the growth of hydrogen bubbles during ultrasonic vibration-enhanced hydrogen generation ,2023,Ultrasonics Sonochemistry,10.1016/j.ultsonch.2023.106734 ,"To improve the hydrogen precipitation performance on the surface of the catalytic layer of the proton exchange membrane (PEM) hydrogen cathode, ultrasonic vibration was employed to accelerate the detachment of hydrogen bubbles on the surface of the catalytic layer. Based on the energy and mechanical analyses of nano and microbubbles, the hydrogen bubble generation mechanism and the effect of temperature on bubble parameters during the evolution process when the ultrasonic field is coupled with the electric field are investigated. The nucleation frequency of the hydrogen bubbles, the relationship between the pressure and temperature and the operating temperature during the generation and detachment of bubbles as well as the detachment radius of bubbles under the action of the ultrasonic field are obtained. The effects of ultrasound and temperature on hydrogen production were verified by visual experiments. The results show that the operating temperature affects the nucleation, growth, and detachment processes of hydrogen bubbles. The effect of temperature on the nucleation frequency of bubbles mainly comes from the Gibbs free energy required for the electrolysis reaction. The bubble radius and growth rate are both related to the temperature to the power of one-third. Ultrasonic waves enhance the separation of hydrogen bubbles from the catalyst surface by acoustic cavitation and impact effects. An increase in the working temperature reduces the activation energy barriers to be overcome for the electrolysis reaction of water, which together with a decrease in the Gibbs free energy and the surface tension coefficient, leads to an increase in the nucleation frequency of the catalytic layer and a decrease in the radius of bubble detachment, and thus improves the hydrogen precipitation performance. Visualization experiments show that in actual PEM hydrogen production, ultrasonic intensification can promote the formation of nucleation sites. The ultrasonic induced fine bubble flow not only has a drag effect on the bubble, but also intensifies the polymerization growth of the bubble due to the impact of the fine bubble flow, thus speeding up the detachment of the bubble, shortening the covering time of the hydrogen bubble on the surface of the catalytic electrode, reducing the activation voltage loss and improve the hydrogen production efficiency of PEM. The experimental results show that when the electrolyte is 60°C, the maximum hydrogen production efficiency of ultrasound is increased by 7.34%, and the average hydrogen production efficiency is increased by 5.83%. ",China
"Zhu, Chuang","Wei, Fenfen; Jiang, Huibin; Lin, Zihan; Zhong, Lingyue; Wu, Yan; Sun, Xiangjun","Song, Lihua",Exploration of the structural mechanism of hydrogen (H2)-promoted horseradish peroxidase (HRP) activity via multiple spectroscopic and molecular dynamics simulation techniques ,2023,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2023.128901 ,"Horseradish peroxidase (HRP) is an enzyme that is widely used in various fields. In this study, the effects of molecular hydrogen (H2) on the activity and structural characteristics of HRP were investigated by employing multiple spectroscopic techniques, atomic force microscopy (AFM) and molecular dynamics (MD) simulations. The results demonstrated that H2 could enhance HRP activity, especially in 1.5 mg/L hydrogen-rich water (HRW). The structural analysis results showed that H2 might alter HRP activity by affecting the active sites, secondary structure, hydrogen bonding network, CS groups, and morphological characteristics. The MD results also confirmed that H2 could increase the FeN bond distance in the active site, affect the secondary structure, and increase the number of hydrogen bonds. The MD results further suggested that H2 could increase the number of salt bridges, and lengthen the SS bonds in HRP. This study primarily revealed the mechanism by which H2 enhances the HRP activity, providing insight into the interactions between gas and macromolecular proteins. However, some of the results obtained via MD simulations still need to be verified experimentally. In addition, our study also provided a new convenient strategy to enhance enzyme activity. ",China
"Kazemi, Amir","Manteghi, Faranak","Tehrani, Zari",Metal Electrocatalysts for Hydrogen Production in Water Splitting ,2024,ACS Omega,10.1021/acsomega.3c07911 ,"The rising demand for fossil fuels and the resulting pollution have raised environmental concerns about energy production. Undoubtedly, hydrogen is the best candidate for producing clean and sustainable energy now and in the future. Water splitting is a promising and efficient process for hydrogen production, where catalysts play a key role in the hydrogen evolution reaction (HER). HER electrocatalysis can be well performed by Pt with a low overpotential close to zero and a Tafel slope of about 30 mV dec-1. However, the main challenge in expanding the hydrogen production process is using efficient and inexpensive catalysts. Due to electrocatalytic activity and electrochemical stability, transition metal compounds are the best options for HER electrocatalysts. This study will focus on analyzing the current situation and recent advances in the design and development of nanostructured electrocatalysts for noble and non-noble metals in HER electrocatalysis. In general, strategies including doping, crystallization control, structural engineering, carbon nanomaterials, and increasing active sites by changing morphology are helpful to improve HER performance. Finally, the challenges and future perspectives in designing functional and stable electrocatalysts for HER in efficient hydrogen production from water-splitting electrolysis will be described. ",Iran
"Zeng, Yu-Jing","Hsu, Min-Kung; Cai, Jia-Rong","Wang, Hsian-Yu",A strategy of novel molecular hydrogen-producing antioxidative auxiliary system improves virus production in cell bioreactor ,2024,Nature Scientific Reports,10.1038/s41598-024-54847-7 ,"In the increasing demand for virus vaccines, large-scale production of safe, efficient, and economical viral antigens has become a significant challenge. High-cell-density manufacturing processes are the most commonly used to produce vaccine antigens and protein drugs. However, the cellular stress response in large-scale cell culture may directly affect host cell growth and metabolism, reducing antigen production and increasing production costs. This study provided a novel strategy of the antioxidant auxiliary system (AAS) to supply molecular hydrogen (H2) into the cell culture media via proton exchange membrane (PEM) electrolysis. Integrated with a high-density cell bioreactor, the AAS aims to alleviate cellular stress response and increase viral vaccine production. In the results, the AAS stably maintained H2 concentration in media even in the high-air exposure tiding cell bioreactor. H2 treatment was shown safe to cell culture and effectively alleviated oxidative stress. In two established virus cultures models, bovine epidemic fever virus (BEFV) and porcine circovirus virus type 2 (PCV-2), were employed to verify the efficacy of AAS. The virus yield was increased by 3.7 and 2.5 folds in BEFV and PCV-2 respectively. In conclusion, the AAS-connected bioreactor effectively alleviated cellular oxidative stress and enhanced virus production in high-density cell culture. ",Taiwan
"Firuznia, Rojan","Jahanbakhsh, Amirmohammad; Nazifi, Sina","Ghasemi, Hadi",Hydrogen Solubility in Confined Water ,2024,Langmuir,10.1021/acs.langmuir.3c03333 ,"Confined water has demonstrated distinct structural and dynamic properties compared to bulk water. Although many studies have explored the water structure within simple geometries using materials such as carbon and silica, studies on gas solubility in confined water and the underlying physics of water structure-solubility remain limited. Recent research has illuminated the concept of ""oversolubility"", wherein gases display increased solubility within liquids confined in small pores compared to their bulk form. This study focuses on zeolites, naturally abundant materials with versatile applications, to study the hydrogen solubility within confined water through careful experimentation. Our findings underscore the relationship between the pore dimension and gas solubility enhancement within confined water. Hydrogen solubility is closely associated with the rearrangement of water molecules within the porous framework of the zeolite. Our research shows that a 2 nm pore size results in the greatest increase in hydrogen solubility in the water trapped inside the zeolite framework. The double donor-double acceptor (DDAA) bonds play a critical role in hydrogen solubility. Our research provides fundamental insight into the role of the molecular bonding type on hydrogen solubility in water, paving the way for potential applications in hydrogen storage and utilization. ",United States
"Fang, Hua","Ye, Fujin; Huang, Dengjing; Chen, Xinfang; Wang, Chunlei","Liao, Weibiao",Hydrogen gas: A new fresh keeping agent of perishable horticultural products ,2024,Food Chemistry,10.1016/j.foodchem.2024.139476 ,"Hydrogen gas (H2), a gaseous signaling molecule, is involved in plant growth and development. This review collates emerging evidence to show that H2 regulates the postharvest senescence of horticultural products through critical biochemical processes, including the improvement of antioxidant systems, the activation of cell wall metabolism, the promotion of energy metabolism, the inhibition of ethylene biosynthesis and the regulation of bacterial communities. Additionally, the interactions between H2 and other signaling molecules are also discussed. This paper presents the current status of H2 research in terms of its biological effects and safety in postharvest products by combining the research results on the molecular mechanisms of biological effects and H2 signaling. The action mechanism of H2 for postharvest preservation is also proposed, and it reflects the complexity and diversity of the pathways involved. Furthermore, a growing body of evidence has found a large number of downstream pathways or targets for the medical effects of H2. Therefore, the scientific and practical aspects of H2 biology are proposed for the postharvest preservation of horticultural products. ",China
"Yaparatne, Sudheera","Moron-Lopez, Jesus; Bouchard, Deborah; Garcia-Segura, Sergi","Apul, Onur G.","Nanobubble applications in aquaculture industry for improving harvest yield, wastewater treatment, and disease control ",2024,The Science of the Total Environment,10.1016/j.scitotenv.2024.172687 ,"The ever-growing demand for aquaculture has led the industry to seek novel approaches for more sustainable practices. These attempts aim to increase aquaculture yield by increasing energy efficiency and decreasing footprint and chemical demand without compromising animal health. For this, emerging nanobubbles (NBs) aeration technology gained attention. NBs are gas-filled pockets suspended as sphere-like cavities (bulk NBs) or attached to surfaces (surface NBs) with diameters of <1 μm. Compared to macro bubbles and microbubbles, NBs have demonstrated unique characteristics such as long residence time in water, higher gas mass transfer efficiency and hydroxyl radical production. This paper focuses on reviewing NB technology in aquaculture systems by summarizing and discussing uses and implications. Three focus areas were targeted to review the applicability and effects of NBs in aquaculture: (i) NBs aeration to improve the aquaculture harvest yield and subsequent wastewater treatment; (ii) NB application for inactivation of harmful microorganisms; and (iii) NBs for reducing oxidative stress and improving animal health. Thus, this study reviews the research studies published in the last 10 years in which air, oxygen, ozone, and hydrogen NBs were tested to improve gas mass transfer, wastewater treatment and control of pathogenic microorganisms. The experimental results indicated that air and oxygen NBs yield significantly higher productivity, growth rate, total harvest, survival rate, and less oxygen consumption in fish and shrimp farming. Secondly, the application of air and ozone NBs demonstrated the ability of efficient pollutant degradation. Third, NB application demonstrated effective control of infectious bacteria and viruses, and thus increased fish survival, as well as different gene expression patterns that induce immune responses to infections. Reviewed studies lack robust comparative analyses of the efficacy of macro- and microbubble treatments. Also, potential health and safety implications, as well as economic feasibility through factors such as changes in capital infrastructure, routine maintenance and energy consumption need to be considered and evaluated in parallel to applicability. Therefore, even with a promising future, further studies are needed to confirm the benefits of NB treatment versus conventional aquaculture practices. ",United States
"Celebi, Yasemin","Kavrut, Enes; Bulut, Menekse; Cetintas, Yunus; Tekin, Ali; Hayaloglu, Ali Adnan","Alwazeer, Duried",Incorporation of hydrogen-producing magnesium into minced beef meat protects the quality attributes and safety of the product during cold storage ,2024,Food Chemistry,10.1016/j.foodchem.2024.139185 ,"The impact of hydrogen (H2) producing magnesium (Mg) incorporation into minced beef meat (MBM) on the quality and safety of the product was investigated. The H2-producing Mg (H2-P-Mg)-incorporated MBMs were vacuumed (VP) and stored at 4 °C for 12 days. Other MBMs were vacuumed and gassed with H2 or N2. At the end of storage, the lowest browning index values were for H2 and H2-P-Mg samples. H2- PMg and VP methods generally decreased the counts of mesophilic and psychrotrophic bacteria and yeast molds and restricted the formation of thiobarbituric acid reactive substances and biogenic amines. Heat mapping, PCA, and multivariate analysis methods confirmed chemical analysis results. The volatile compounds were at their highest levels in the control samples at the end of storage, followed by H2, N2, H2-P-Mg, and VP samples. Using the H2-P-Mg method in MBM preparation could protect the quality characteristics and safety of the product during cold storage. ",Turkey
"Gao, Huijin","Li, Feiyan; Chen, Xi; You, Ziming; Wei, Lei; Liu, Yuanlong; Liu, Ping; He, Mingyang; Hong, Min; Zhu, Hong; Duan, Xuewu; Jiang, Yueming","Yun, Ze",The role of hydrogen-rich water in delaying the pulp breakdown of litchi fruit during postharvest storage ,2024,Food Chemistry,10.1016/j.foodchem.2024.139694 ,"Previous studies have indicated that hydrogen-rich water (HW) treatment can delay fruit ripening and senescence. However, little is known about the HW-delaying pulp breakdown. In this study, eight physiological characteristics revealed that HW treatment delayed both pericarp browning and pulp breakdown of litchi fruit. To gain a comprehensive understanding of the changes in litchi pulp, a combination of multiple metabolomics and gene expression analyses was conducted, assessing 67 primary metabolites, 103 volatiles, 31 amino acids, and 13 crucial metabolite-related genes. Results showed that HW treatment promoted starch degradation, decelerated cell wall degradation and glycolysis, and maintained the flavor and quality of litchi fruit. Furthermore, HW treatment stimulated the production of volatile alcohols, aldehydes, ketones, olefins, and amino acids, which might play a vital role in HW-delaying pulp breakdown. This study sheds light on the mechanism by which HW delayed pulp breakdown by investigating small molecule metabolites and metabolic pathways. ",China
"Li, Wenxian","Liu, Yang; Azam, Ashraful; Liu, Yichen; Yang, Jack; Wang, Danyang; Sorrell, Charles Christopher; Zhao, Chuan","Li, Sean",Unlocking Efficiency: Minimizing Energy Loss in Electrocatalysts for Water Splitting ,2024,Advanced Materials,10.1002/adma.202404658 ,"Catalysts play a crucial role in water electrolysis by reducing the energy barriers for hydrogen and oxygen evolution reactions (HER and OER). Research aims to enhance the intrinsic activities of potential catalysts through material selection, microstructure design, and various engineering techniques. However, the energy consumption of catalysts has often been overlooked due to the intricate interplay among catalyst microstructure, dimensionality, catalyst-electrolyte-gas dynamics, surface chemistry, electron transport within electrodes, and electron transfer among electrode components. Efficient catalyst development for high-current-density applications is essential to meet the increasing demand for green hydrogen. This involves transforming catalysts with high intrinsic activities into electrodes capable of sustaining high current densities. This review focuses on current improvement strategies of mass exchange, charge transfer, and reducing electrode resistance to decrease energy consumption. It aims to bridge the gap between laboratory-developed, highly efficient catalysts and industrial applications regarding catalyst structural design, surface chemistry, and catalyst-electrode interplay, outlining the development roadmap of hierarchically structured electrode-based water electrolysis for minimizing energy loss in electrocatalysts for water splitting. This article is protected by copyright. All rights reserved. ",Australia
"Lv, Shuang","Zhang, Linhao; Wang, Ying; Fan, Wenhong","Liu, Shu",Hydrogen nanobubbles and oxidative windows: Investigating how varying hydrogen concentrations influence seed germination and stress defense ,2024,Jounal of Hazardous Materials,10.1016/j.jhazmat.2024.135035 ,"The hydrogen molecule can effectively regulate plant growth and development, improving plant resistance to abiotic stresses. However, studies regarding the optimal concentration of hydrogen and the associated mechanisms of action in organisms are lacking. This study showed that the maximum germination rate of radish seeds decreased from 90 % to 50 % under the stress of cadmium ions (Cd2+), and hydrogen nanobubble (NB) water significantly alleviated the stress effect of Cd2+ on radish seed germination. A hydrogen concentration of 0.8 ppm had the best effect, reducing Cd2+ accumulation in radish seeds by 63.23 % and increasing the maximum germination rate from 50 % to 65 %. At concentrations exceeding 1.2 ppm, the beneficial effect of hydrogen was weakened or even reversed. Consequently, we integrated the concept of the oxidative window into a REDOX balance model and demonstrated that an appropriate hydrogen concentration can effectively maintain the REDOX state within organisms. Transcriptome sequencing analysis revealed that hydrogen NB water modulated Cd2+ absorption and accumulation in seeds by regulating cell wall components, alleviating oxidative stress through oxidoreductase activity, and enhancing nutrient synthesis and metabolism. This collectively alleviated the inhibitory effect of Cd2+ on seed germination. This study is helpful for further understanding the effect of hydrogen concentration on the REDOX balance of seed germination, providing a theoretical basis for selecting hydrogen concentration to improve its effectiveness in agricultural fields. ",China
"Cao, Shuang","Sun, Tong; Peng, Yong; Yu, Xianghui; Li, Qinzhu; Meng, Fan Lu; Yang, Fan; Wang, Han; Xie, Yunhui; Hou, Chun-Chao","Xu, Qiang",Simultaneously Producing H2 and H2O2 by Photocatalytic Water Splitting: Recent Progress and Future ,2024,Small,10.1002/smll.202404285 ,"The solar-driven overall water splitting (2H2O→2H2 + O2) is considered as one of the most promising strategies for reducing carbon emissions and meeting energy demands. However, due to the sluggish performance and high H2 cost, there is still a big gap for the current photocatalytic systems to meet the requirements for practical sustainable H2 production. Economic feasibility can be attained through simultaneously generating products of greater value than O2, such as hydrogen peroxide (H2O2, 2H2O→H2 + H2O2). Compared with overall water splitting, this approach is more kinetically feasible and generates more high-value products of H2 and H2O2. In several years, there has been an increasing surge in exploring the possibility and substantial progress has been achieved. In this review, a concise overview of the importance and underlying principles of PIWS is first provided. Next, the reported typical photocatalysts for PIWS are discussed, including commonly used semiconductors and cocatalysts, essential design features of these photocatalysts, and connections between their structures and activities, as well as the selected approaches for enhancing their stability. Then, the techniques used to quantify H2O2 and the operando characterization techniques that can be employed to gain a thorough understanding of the reaction mechanisms are summarized. Finally, the current existing challenges and the direction needing improvement are presented. This review aims to provide a thorough summary of the most recent research developments in PIWS and sets the stage for future advancements and discoveries in this emerging area. ",China
