ID,First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Rank,Model,Primary Topic,Secondary Topic,Tertiary Topic,Vehicle,pH,Application,Comparison,Complement,Country
771,"Ito, Mikako","Hirayama, Masaaki; Yamai, Kazuaki; Goto, Sae; Ito, Masafumi; Ichihara, Masatoshi","Ohno, Kinji","Drinking hydrogen water and intermittent hydrogen gas exposure, but not lactulose or continuous hydrogen gas exposure, prevent 6-hydorxydopamine-induced Parkinson’s disease in rats",2012,Medical Gas Research,10.1186/2045-9912-2-15,"Lactulose is a synthetic disaccharide that can be catalyzed only by intestinal bacteria in humans and rodents, and a large amount of hydrogen is produced by bacterial catalysis of lactulose. We previously reported marked effects of ad libitum administration of hydrogen water on prevention of a rat model of Parkinson's disease (PD). End-alveolar breath hydrogen concentrations were measured in 28 healthy subjects and 37 PD patients, as well as in 9 rats after taking hydrogen water or lactulose. Six-hydroxydopamine (6-OHDA)-induced hemi-PD model was stereotactically generated in rats. We compared effects of hydrogen water and lactulose on prevention of PD. We also analyzed effects of continuous and intermittent administration of 2% hydrogen gas. Hydrogen water increased breath hydrogen concentrations from 8.6 ± 2.1 to 32.6 ± 3.3 ppm (mean and SEM, n = 8) in 10 min in healthy subjects. Lactulose increased breath hydrogen concentrations in 86% of healthy subjects and 59% of PD patients. Compared to monophasic hydrogen increases in 71% of healthy subjects, 32% and 41% of PD patients showed biphasic and no increases, respectively. Lactulose also increased breath hydrogen levels monophasically in 9 rats. Lactulose, however, marginally ameliorated 6-OHDA-induced PD in rats. Continuous administration of 2% hydrogen gas similarly had marginal effects. On the other hand, intermittent administration of 2% hydrogen gas prevented PD in 4 of 6 rats. Lack of dose responses of hydrogen and the presence of favorable effects with hydrogen water and intermittent hydrogen gas suggest that signal modulating activities of hydrogen are likely to be instrumental in exerting a protective effect against PD.",Positive,Rat,Brain,Parkinson's Disease,Oxidative Stress,Water (Electrolysis),Neutral,Mixed,Lactulose,,Japan
772,"Ji, Xituan","Tian, Ye; Xie, Keliang; Liu, Weiping; Qu, Yan","Fei, Zhou",Protective effects of hydrogen-rich saline in a rat model of traumatic brain injury via reducing oxidative stress ,2012,Journal of Surgical Research,10.1016/j.jss.2011.12.038 ,"Background: Hydrogen gas (H(2)) has been considered as a novel antioxidant to selectively reduce the toxic reactive oxygen species (ROS) such as hydroxyl radical (•OH) without affecting the other signal ROS. Our recent study shows that H(2) inhalation is beneficial to traumatic brain injury (TBI) via reducing oxidative stress. In contrast to H(2), hydrogen-rich saline (HS) may be more suitable for clinical application. The present study was designed to investigate whether HS has a protective effect against TBI via reducing oxidative stress in rats. Methods: TBI model was induced by controlled cortical impact injury. Different dosages of HS were intraperitoneally administered at 5 min after TBI operation. We then measured the brain edema, blood-brain barrier (BBB) breakdown, neurological dysfunction and injury volume in all animals. In addition, the oxidative products and antioxidant enzymes in brain tissues were detected. Results: TBI-challenged rats exhibited significant brain injuries characterized by the increase of BBB permeability, brain edema, and lesion volume as well as neurological dysfunction, which were dose-dependently ameliorated by HS treatment. Moreover, we found that HS treatment increased the endogenous antioxidant enzymatic activities and decreased the oxidative product levels in brain tissues of TBI-challenged rats. Conclusion: Hydrogen-rich saline can exert a protective effect against TBI via reducing oxidative stress. Molecular hydrogen may be a more effective therapeutic strategy for TBI patients.
",Positive,Rat,Brain,Traumatic Brain Injury,Oxidative Stress,Saline (Dissolved),Neutral,Injection,,,China
773,"Jiang, Dapeng","Wu, Dongzhen; Zhang, Yubo; Xu, Bo; Sun, Xuejun","Li, Zhaozhu",Protective Effects of Hydrogen Rich Saline Solution on Experimental Testicular Ischemia-Reperfusion Injury in Rats,2012,Journal of Urology,10.1016/j.juro.2012.01.029,"We examined the effectiveness of hydrogen rich saline solution on the prevention of testicular damage induced by ischemia/reperfusion in rats. Male Sprague-Dawley® rats were divided randomly into 4 groups, including group 1-sham operated, group 2-torsion-detorsion, group 3-torsion-detorsion plus saline and group 4-torsion-detorsion plus hydrogen rich saline solution. Testicular torsion was performed by rotating the left testis 720 degrees clockwise for 4 hours. Reperfusion was allowed for 4 hours. Hydrogen rich saline solution (5 ml/kg) was injected intraperitoneally in rats in group 4 15 minutes before the start of detorsion. Rats were sacrificed after 4-hour initiation of detorsion. Left orchiectomy was done for histopathological examination and biochemical assay. The testicular injury score in groups 2 and 3 was significantly lower than in sham operated group 1 but higher in group 4 with hydrogen rich saline than in group 2 with torsion-detorsion. The apoptosis index was significantly increased in groups 2 and 3. Hydrogen rich saline solution treatment significantly decreased the apoptosis index. A significant increase in malondialdehyde and a decrease in superoxide dismutase activity were observed in groups 2 and 3. In group 4 malondialdehyde was significantly lowered and superoxide dismutase activity was significantly improved compared with groups 2 and 3. Results provide a biochemical and histopathological basis for the action of hydrogen rich saline solution as a therapeutic agent for testicular damage induced by ischemia/reperfusion injury.",Positive,Rat,Testes,Testicular Injury,Ischemia-Reperfusion (I/R) Injury,Saline (Dissolved),Neutral,Injection,,,China
774,"Jin, Yi-Chao","Qiu, Xiao-Chen; Sun, Yu; Luo, Peng-Fei; Li, Wu-Quan; Fu, Jin-Feng","Xia, Zhao-Fan",Protective effect of hydrogen-lactated Ringer's solution against extensive burn-induced intestine injury in rats after delayed fluid resuscitation,2012,Academic Journal of Second Military Medical University,10.3724/SP.J.1008.2012.00170,"Objective To investigate the protective effect of hydrogen-rich lactated Ringer’s solution (HRS) against intestine injury induced by extensive burn in Sprague-Dewley (SD) rat model after delayed fluid resuscitation. Methods Thirty-six male SD rats were randomly divided into three groups (n=12): sham-burn group(S group), burn plus normal lactated Ringer’s solution(NRS) group (BR group) and burn plus hydrogen-rich lactated Ringer’s solution(HRS) group (BH group). Rats in the S group were immersed into 37℃ water without fluid replacement; those in BR group and BH group were subjected to 30% total body surface area (TBSA) Ⅲ degree full-thickness scald. At first, a total of 2 ml·(1% TBSA)-1·kg-1 of HRS or NRS were replaced at 7 h post-burn and half volume of the total solution was replaced at the 9 h and 17 h. All rats were sacrificed at 24 h. Small intestine tissues were removed for H-E staining and determination of MDA content, MPO and SOD activity; and the levels of the IL-1β and TNF-α were determined by ELISA. Results The intestinal injury was relieved in BH group compared with BR group. The intestinal MDA content (P<0.05) and activities of MPO and SOD (P<0.01) were all decreased in BH group. IL-1β and TNF-α levels in BH group were significantly lower than those in the BR group (P<0.01). Conclusion HRS can attenuate intestine injury induced by extensive burn after delayed fluid resuscitation. It can decrease the oxidative injury following extensive burn and delay fluid resuscitation, and it can also suppress the generation of proinflammatory cytokine IL-1β and TNF-α.",Positive,Rat,Intestine,Shock,Burn,Solution (Dissolved),Neutral,Injection,,,China
775,"Kagawa, Akio","Katsura, Keishi; Mizumoto, Masayuki; Tagawa, Yutaka","Masiko, Yoichi",Influence of Hydrogen Discharged from Palladium Base Hydrogen Storage Alloys on Cancer Cells,2012,Materials Science Forum,10.4028/www.scientific.net/MSF.706-709.520,"The influence of discharged hydrogen from Pd-Ni based hydrogen storage alloys (HSAs) on cultured cells has been investigated. The susceptibility of cells to discharged hydrogen varied with the kind of cells. No influence was seen in the normal cells, while an effect of killing cancer cells was observed near the HAS and the region where the cell death was observed was limited to an extent of a few mm from the alloy surface. In order to examine the cause of the effects, the amount of gaseous hydrogen and hydrogen radicals released from the alloy surface and pH change of physiological saline aq. solution were measured. The amount of gaseous hydrogen and hydrogen radicals increased with time. The pH of physiological saline aq. solution decreased first and then recovered to the starting value after about 50h. The pH change behavior varied with alloy composition. It is inferred that the hydrogen radicals formed on alloy surface may bring a characteristic change in the cancer cells, leading to the effect of discharged hydrogen on cancer cell death.",Positive,Cell Culture,Whole Body,Cancer,Novel Therapy,Gas (Sustained Release),Neutral,Culture Media,,,Japan
776,"Katakura, Masanori","Hashimoto, Michio; Tanabe, Yoko","Shido, Osamu","Hydrogen-rich water inhibits glucose and α,β -dicarbonyl compound-induced reactive oxygen species production in the SHR.Cg-Leprcp/NDmcr rat kidney ",2012,Medical Gas Research,10.1186/2045-9912-2-18,"Reactive oxygen species (ROS) production induced by α,β-dicarbonyl compounds and advanced glycation end products causes renal dysfunction in patients with type 2 diabetes and metabolic syndrome. Hydrogen-rich water (HRW) increases the H2 level in blood and tissues, thus reducing oxidative stress in animals as well as humans. In this study, we investigated the effects of HRW on glucose- and α,β-dicarbonyl compound-induced ROS generation in vitro and in vivo. Kidney homogenates from Wistar rats were incubated in vitro with glucose and α,β-dicarbonyl compounds containing HRW, following which ROS levels were measured. In vivo animal models of metabolic syndrome, SHR.Cg-Leprcp/NDmcr rats, were treated with HRW for 16 weeks, following which renal ROS production and plasma and renal α,β-dicarbonyl compound levels were measured by liquid chromatograph mass spectrometer. HRW inhibited glucose- and α,β-dicarbonyl compound-induced ROS production in kidney homogenates from Wistar rats in vitro. Furthermore, SHR.Cg-Leprcp/NDmcr rats treated with HRW showed a 34% decrease in ROS production. Moreover, their renal glyoxal, methylglyoxal, and 3-deoxyglucosone levels decreased by 81%, 77%, and 60%, respectively. Positive correlations were found between renal ROS levels and renal glyoxal (r = 0.659, p = 0.008) and methylglyoxal (r = 0.782, p = 0.001) levels. These results indicate that HRW inhibits the production of α,β-dicarbonyl compounds and ROS in the kidneys of SHR.Cg-Leprcp/NDmcr rats. Therefore, it has therapeutic potential for renal dysfunction in patient with type 2 diabetes and metabolic syndrome.",Positive,Rat,Kidney,Diabetes (Type II),Diabetic Nephropathy,Water (Mg-Chemico),Alkaline,Ingestion,,,Japan
777,"Kato, Shinya","Hokama, Ryoji; Okayasu, Hajime; Saitoh, Yasukazu; Iwai, Keizou","Miwa, Nobuhiko",Colloidal platinum in hydrogen-rich water exhibits radical-scavenging activity and improves blood fluidity ,2012,Journal of Nanoscience and Nanotechnology,10.1166/jnn.2012.6163 ,"The 'colloidal platinum' stabilized with polyvinylpyrrolidone (Pt/PVP-colloid) was dispersed in hydrogen-rich water (HW; hydrogen concentration, 0.82 ppm; oxidation-reduction potential, -583 mV) or regular water (RW; <0.01 ppm, +218 mV). And we evaluated the antioxidant activity of Pt/PVP-colloid in HW or RW on 1,1-diphenyl-2-picrylhydrazyl (DPPH) radical scavenging and improvement of blood fluidity under 2,2'-azobis (2-amidinopropane) dihydrochloride (AAPH)-induced oxidative stress. When applied with the 0.25-0.5 ppm Pt/PVP-colloid in RW or HW, the level of DPPH radicals decreased to 77.5-59.6% or 16.1-5.6%, in contrast to the level as high as 81.3% for HW alone, respectively, as measured by an electron spin resonance method. The horse blood, which was subjected to AAPH-induced oxidative stress, was incubated for 24 hr with RW or HW, and thereafter required 13.7 sec (100%) or 5.7 sec (42.3%) for passing through the micro-channels in a rheology equipment. When treated with 0.5-1.0 ppm Pt/PVP-colloid in RW or HW, the blood passage time in the micro-channels decreased dose-dependently to 9.7-7.3 sec (71.6-53.8%) or 4.3-1.3 sec (32.8-10.3%), and the rate of micro-channels clogged with erythrocyte aggregates decreased to 23.8-21.0% or 15.8-9.8%, respectively, from 42.8% for no addition of Pt/PVP. By scanning electron microscopy, AAPH-treated erythrocytes lost intact surface morphology on the membrane together with protrusions and without hollows, being indicative of impaired transforming ability, and the rate of erythrocyte agglutination was increased to 46.2%. When treated the horse blood with HW alone significantly decreased the rate of erythrocyte agglutination to 29.6%, whereas 1.0 ppm Pt/PVP-colloid in RW or HW decreased it to 24.1% or 21.1%, respectively. Thus, DPPH-radical-scavenging and erythrocyte-protecting effects of Pt/PVP-colloid in HW were superior to those of Pt/PVP-colloid in RW or Pt/PVP-free HW. The results could be mainly attributed to the enhanced antioxidant activity of Pt/PVP in HW, which may be due to captured-hydrogen on platinum. ",Positive,Molecular Assay,Blood,Blood Composition,Fluidity/Viscosity,Water (Electrolysis),Alkaline,Assay Media,,Platinum,Japan
778,"Kato, Shinya","Saito, Yasukazu; Iwai, Keizou","Miwa, Nobuhiko",Hydrogen-rich electrolyzed warm water represses wrinkle formation against UVA ray together with type-I collagen production and oxidative-stress diminishment in fibroblasts and cell-injury prevention in keratinocytes ,2012,Journal of Photochemistry and Photobiology,10.1016/j.jphotobiol.2011.09.006 ,"Hydrogen-rich electrolyzed warm water (HW) was prepared at 41°C and exhibited dissolved hydrogen (DH) of 1.13 ppm and an oxidation-reduction potential (ORP) of -741 mV in contrast to below 0.01 ppm and+184 mV for regular warm water (RW). Fibroblasts OUMS-36 and keratinocytes HaCaT were used to examine effects of HW against UVA-ray irradiation. Type-I collagen was synthesized 1.85- to 2.03-fold more abundantly by HW application for 3-5 days than RW in OUMS-36 fibroblasts, and localized preferentially around the nuclei as shown by immunostain. HW application significantly prevented cell death and DNA damages such as nuclear condensation and fragmentation in UVA-irradiated HaCaT keratinocytes as estimated by WST-1 and Hoechst 33342 assays. HW significantly suppressed UVA-induced generation of intracellular superoxide anion radicals in both the cell lines according to NBT assay. Wrinkle repression was clinically assessed using a HW-bathing. Six Japanese subjects were enrolled in a trial of HW-bathing (DH, 0.2-0.4 ppm) every day for 3 months. HW-bathing significantly improved wrinkle in four subjects on the back of neck on 90th day as compared to 0 day. Thus, HW may serve as daily skin care to repress UVA-induced skin damages by ROS-scavenging and promotion of type-I collagen synthesis in dermis. ",Positive,Cell Culture,Skin,Radioprotection,UV Radiation,Water (Electrolysis),Alkaline,Culture Media,,,Japan
779,"Kawai, Daisuke","Takaki, Akinobu; Nakatsuka, Atsuko; Wada, Jun; Tamaki, Naofumi; Yasunaka, Tatsuya; Koike, Kasuko; Tsuzaki, Ryuichiro; Matsumoto, Kazuyuki; Miyake, Yasuhiro; Shiraha, Hidenori; Morita, Manabu; Makino, Hirofumi","Yamamoto, Kazuhide",Hydrogen-rich water prevents progression of nonalcoholic steatohepatitis and accompanying hepatocarcinogenesis in mice ,2012,Hepatology,10.1002/hep.25782 ,"Oxidative stress is a strong contributor to the progression from simple fatty liver to nonalcoholic steatohepatitis (NASH). Molecular hydrogen is an effective antioxidant that reduces cytotoxic reactive oxygen species. In this study, we investigated the effects of hydrogen-rich water and the drug pioglitazone on the progression of NASH in mouse models. A methionine-choline-deficient (MCD) diet mouse model was prepared. Mice were divided into three experimental groups and fed for 8 weeks as follows: (1) MCD diet + control water (CW group); (2) MCD diet + hydrogen-rich water (HW group); and (3) MCD diet mixed with pioglitazone (PGZ group). Plasma alanine aminotransferase levels, hepatic expression of tumor necrosis factor-α, interleukin-6, fatty acid synthesis-related genes, oxidative stress biomarker 8-hydroxydeoxyguanosine (8-OHdG), and apoptosis marker terminal deoxynucleotidyl transferase-mediated deoxyuridine triphosphate nick-end labeling (TUNEL)-positive cells in the liver were decreased in the HW and PGZ groups. The HW group showed a smaller decrease in hepatic cholesterol; however, stronger antioxidative effects in serum and lower peroxisome proliferator-activated receptor-α expression in the liver were seen in comparison with the PGZ group. We then investigated the effects of hydrogen in the prevention of hepatocarcinogenesis in STAM mice, known as the NASH-related hepatocarcinogenesis model. Eight-week-old male STAM mice were divided into three experimental groups as follows: (1) control water (CW-STAM); (2) hydrogen-rich water (HW-STAM); and (3) pioglitazone (PGZ-STAM). After 8 weeks, hepatic tumors were evaluated. The number of tumors was significantly lower in the HW-STAM and PGZ-STAM groups than in the CW-STAM group. The maximum tumor size was smaller in the HW-STAM group than in the other groups. ",Positive,Mouse,Liver,Non-Alcoholic Steatohepatitis (NASH),Oxidative Stress,"Water, Commercial (Blue Mercury)",Neutral,Ingestion,,,Japan
780,"Kim, Byungro",,"Lim, Insu",Effects of ionized alkali water intake on oxidative stress and its related gene expression induced by acute and exhaustive exercise,2012,Excercise Science,10.15857/ksep.2012.21.1.1,"The purpose of this study was to investigate the effects of ionized alkali water supplement on oxidative stress and proinflammatory cytokines in highly trained high school and college track athletes (n=18). In an single group and cross-over design, all subjects consumed tap water and ionized alkali water for 2 weeks in a random order, and they underwent an acute and exhaustive treadmill running at an intensity of 80% VO2max. Venous blood samples were collected prior to, immediately after, and 2 hr and 24 hr of post-exercise period for the assessment of serum MDA, TNFα, and IL-6. In addition, relA (p65) protein, iNOS mRNA, COX2 mRNA, and IL-6 mRNA were measured in peripheral blood mononuclear cells (PBMC). Two-way mixed ANOVA was applied to determine any significant treatment by time interaction in the measured variables, which was followed by independent t-test for post-hoc analyses if necessary. From the current study, we found that 2 weeks of ionized alkali water supplement suppressed increases in serum MDA, PBMC relA (p65) protein, and PBMC COX2 mRNA expression induced by the acute and exhaustive treadmill exercise in this study population. The findings of the study suggest that ionized alkali water supplement can result in somewhat anti-oxidant effects against free radical and reactive oxygen species occurring during a high intensity and exhaustive exercise.",Positive,Human,Whole Body,Excercise,Oxidative Stress,Water (Electrolysis),Alkaline,Ingestion,,,South Korea
781,"Kim, Mi Jeong","Fischer, Joan","Hung, Y.C.",Effect of Reconstituted Apple Juice with Alkaline Electrolyzed Water on Cell Proliferation and Apoptosis of HT-29 Cells,2012,Journal of Food and Drug Analysis,10.38212/2224-6614.2137,"Apple juice, known as a good antioxidant source, may partially protect the body from oxidative stress. In this report, the effect of apple juice reconstituted with alkaline electrolyzed water (EO-apple juice) on HT-29 cells was investigated. Specifically, the total antioxidant capacity (ORAC and TEAC) of EO-apple juice, and the effects this EO-apple juice on cell proliferation (MTT assay), DNA fragmentation, and oxidative DNA damage (comet assay) of HT-29 cells were evaluated. The TEAC value of EO-apple juice was higher (2773 μM TE vs. 1739 μM TE) than apple juice reconstituted with ultra pure water (Water-apple juice). EO-apple juice also had a higher ORAC value (15446 μM TE) than that Water-apple juice (13908 μM TE). After 72 h cell incubation, HT-29 cell proliferation was more effectively reduced by the EO-apple juice than the Water-apple juice. Induction of apoptosis was determined using a DNA fragmentation method, and apoptotic cells increased in a dose-dependent manner after treatment with both reconstituted apple juices. In conclusion, EO-apple juice had a stronger antioxidant effect than water-apple juice and can inhibit HT-29 cell proliferation plus induce apoptosis.",Positive,Cell Culture,Intestine,Cancer,Oncogenesis,Water (Electrolysis),Alkaline,Irrigation,,Apple Juice,South Korea
782,"Kinjo, Tomoya","Ye, Jun; Yan, Hanxu; Hamasaki, Takeki; Nakanishi, Hidekazu; Toh, Kazuko; Nakamichi, Noboru; Kabayama, Shigeru; Teruya, Kiichiro","Shirahata, Sanetaka",Suppressive effects of electrochemically reduced water on matrix metalloproteinase-2 activities and in vitro invasion of human fibrosarcoma HT1080 cells ,2012,Cytotechnology,10.1007/s10616-012-9469-7 ,"It has been demonstrated that hydrogen peroxide (H(2)O(2)) is directly associated with elevated matrix metalloproteinase-2 (MMP-2) expression in several cell lines. Electrochemically reduced water (ERW), produced near the cathode during electrolysis, and scavenges intracellular H(2)O(2) in human fibrosarcoma HT1080 cells. RT-PCR and zymography analyses revealed that when HT1080 cells were treated with ERW, the gene expression of MMP-2 and membrane type 1 MMP and activation of MMP-2 was repressed, resulting in decreased invasion of the cells into matrigel. ERW also inhibited H(2)O(2)-induced MMP-2 upregulation. To investigate signal transduction involved in MMP-2 downregulation, mitogen-activated protein kinase (MAPK)-specific inhibitors, SB203580 (p38 MAPK inhibitor), PD98059 (MAPK/extracellular regulated kinase kinase 1 inhibitor) and c-Jun NH(2)-terminal kinase inhibitor II, were used to block the MAPK signal cascade. MMP-2 gene expression was only inhibited by SB203580 treatment, suggesting a pivotal role of p38 MAPK in regulation of MMP-2 gene expression. Western blot analysis showed that ERW downregulated the phosphorylation of p38 both in H(2)O(2)-treated and untreated HT1080 cells. These results indicate that the inhibitory effect of ERW on tumor invasion is due to, at least in part, its antioxidative effect. ",Positive,Cell Culture,Whole Body,Cancer,Oncogenesis,Water (Electrolysis),Alkaline,Culture Media,,,Japan
783,"Lee, Jae-Won","Kim, Jong-In; Lee, Young-Ah; Lee, Dong-Hun; Song, Chang-Seon; Cho, Yoon Ju","Han, Jin Soo",Inhaled hydrogen gas therapy for prevention of testicular ischemia/reperfusion injury in rats,2012,Journal of Pediatric Surgery,10.1016/j.jpedsurg.2011.09.035,"This study evaluated whether 2% hydrogen (H(2)) gas therapy protects against testicular ischemia/reperfusion injury which results in increased formation of reactive oxygen species and/or reactive nitrogen species, leading to testicular apoptosis and impaired spermatogenesis. Pubertal six-week-old Spraque-Dawley rats were assigned to 5 groups (10 animals/group) as follows: group A was a sham operated group; groups B, C, D, and E underwent 5 hours of left testicular ischemia followed by 0, 30, 60, and 120 minutes of 2% H(2) gas therapy, respectively. Histological analysis was performed to verify structure and morphology of the testes and to investigate Johnsen scores, mean seminiferous tubule diameter, and the number of germ cell layers to classify spermatogenesis. Germ cell apoptosis was evaluated by terminal deoxynucleotidyl transferase dUTP nick end labeling assay and Bax/Bcl-2 ratio real-time polymerase chain reaction. We also investigated malondialdehyde levels as an indicator of lipid peroxidation. Compared to the sham group (A), germ cell apoptosis and lipid peroxidation in the ischemia group (B) were significantly increased with abnormal morphology and impaired spermatogenesis. In contrast, amelioration of testicular damages was evident in the H(2) therapy groups (C, D, and E). Our results showed that inhalation of 2% H(2) gas may be a promising therapy with anti-apoptotic and anti-oxidant properties in cases of testicular ischemia/reperfusion injury.",Positive,Rat,Testes,Testicular Injury,Ischemia-Reperfusion (I/R) Injury,Gas,N/A,Inhalation,,,South Korea
784,"Li, Hui","Zhou, Ronghua; Liu, Jin; Li, Qian; Zhang, Jingyu; Mu, Jinglan","Sun, Xue-Jun",Hydrogen-Rich Saline Attenuates Lung Ischemia-Reperfusion Injury in Rabbits,2012,Journal of Surgical Research,10.1016/j.jss.2011.10.001,"Hydrogen gas, an antioxidant agent, was found to protect against cerebral and myocardial ischemia-reperfusion (I/R) injury. In the present study, we investigated the effect of hydrogen-rich saline (HRS) on the I/R-induced lung injury. Left lung of male New Zealand White rabbits rendered normothermic ischemia for 60 min and reperfused for up to 240 min. Treated animals received intraperitoneal injection of 5 mL/kg HRS or the same volume of normal saline 10 min before the start of reperfusion. Blood and lung tissue samples were obtained for blood gas and biochemical analyses. The tissues obtained from lower lobe of left lung were used for histologic examination. After 240 min of reperfusion, intraperitoneal administration of HRS increased PaO2/FiO2 ratio and superoxide dismutase activities, and decreased malondialdehyde contents, proinflammatory cytokines expression, and myeloperoxidase activities, along with reduced wet/dry ratio and histologic injury scores (P < 0.05 versus I/R group). These results suggest that intraperitoneal administration of HRS before reperfusion protects the lung from I/R injury. The protective effect seems to be closely related to regulating oxidative damage and antioxidant enzyme activities and neutrophil infiltration.",Positive,Rabbit,Lung,Surgery/Transplantation,Ischemia-Reperfusion (I/R) Injury,Saline (Dissolved),Neutral,Injection,,,China
785,"Li, Jianjun","Dong, Yushu; Chen, Hongguang; Han, Huanzhi; Yu, Yonghao; Wang, Guolin; Zeng, Yi","Xie, Ke-Liang",Protective effects of hydrogen-rich saline in a rat model of permanent focal cerebral ischemia via reducing oxidative stress and inflammatory cytokines ,2012,Brain Research,10.1016/j.brainres.2012.09.031 ,"Hydrogen gas (H(2)) as a new medical gas exerts organ-protective effects through regulating oxidative stress, inflammation and apoptosis. In contrast to H(2), hydrogen-rich saline (HS) may be more suitable for clinical application. The present study was designed to investigate whether HS can offer a neuroprotective effect in a rat model of permanent focal cerebral ischemia and what mechanism(s) underlies the effect. Sprague-Dawley rats were subjected to permanent focal cerebral ischemia induced by permanent middle cerebral artery occlusion (pMCAO). Different doses of HS or normal saline were intraperitoneally administered at 5min after pMCAO or sham operation followed by injections at 6h, 12h and 24h. Here, we found that HS treatment significantly reduced infarct volume and improved neurobehavioral outcomes at 24h, 48h and 72h after pMCAO operation in a dose-dependent manner (P<0.05). Moreover, we found that HS treatment dose-dependently increased the activities of endogenous antioxidant enzymes (SOD and CAT) as well as decreased the levels of oxidative products (8-iso-PGF2α and MDA) and inflammatory cytokines (TNF-α and HMGB1) in injured ipsilateral brain tissues at 6h, 12h and 24h after pMCAO operation (P<0.05). Thus, hydrogen-rich saline dose-dependently exerts a neuroprotective effect against permanent focal cerebral ischemia, and its beneficial effect is at least partially mediated by reducing oxidative stress and inflammation. Molecular hydrogen may be an effective therapeutic strategy for stroke patients. ",Positive,Rat,Brain,Stroke,Ischemia-Reperfusion (I/R) Injury,Saline (Dissolved),Neutral,Injection,,,China
786,"Liang, Canxin","Liu, Xinwei; Liu, Ling","He, Dongwei",Effect of hydrogen inhalation on p38 MAPK activation in rats with lipopolysaccharide- induced acute lung injury,2012,Journal of Southern Medical University,22931625,"Objective: To investigate the effect of hydrogen inhalation on lipopolysaccharide (LPS)-induced acute lung injury (ALI) and the underlying molecular mechanisms. Methods: Thirty-two male SD rats were randomly divided into 4 groups (n=8), namely the normal saline group (SA), saline with 2% hydrogen gas inhalation group (SH group), ALI group, and ALI with hydrogen inhalation group (LH group). In the two ALI groups, ALI was induced by intraperitoneal injection of 15 mg/kg LPS. Treatments with inhalation of 2% hydrogen gas for 6 h was administered after the injection of LPS or saline. The concentrations of tumor necrosis factor-α (TNF-α) in the lung tissue and serum were examined with ELISA. The expression of p38 MAPK in the lung tissue was detected by Western blotting. Results: Hydrogen inhalation decreased the expression of p-p38 MAPK in the lung tissue, and significantly reduced TNF-α content in the lung tissue and serum of rats with ALI. Conclusion: Hydrogen inhalation can decrease the expression of TNF-α in the lung tissue and serum, and this effect may be related with reduced p38 MAPK expression and inhibition of p38 MAPK activation.
",Positive,Rat,Lung,Sepsis,Lung Injury,Gas,N/A,Inhalation,,,China
787,"Liu, Xinwei","Chen, Zhi; Mao, Ningfang","Xie, Yang",The protective of hydrogen on stress-induced gastric ulceration,2012,International Immunopharmacology,10.1016/j.intimp.2012.04.004,"Stress ulceration frequently occurs as a result of major stressful events and hydroxyl radical (⋅OH) is one of the major causative factors for it. Recently, it has been proved that hydrogen, a potent selectively ⋅OH scavenger, can effectively protect animals against ROS-induced tissue damage. In like manner, we hypothesize that hydrogen may have a protective effect against stress ulceration. Gastric ulceration was induced by the method of cold restraint stress. Rats in the hydrogen treatment group received hydrogen-rich saline (10 mL/kg body weight) 5 min before the stress. At 6h post-stress, gastric corpus mucosa was harvested for the measurement of malondialdehyde, protein carbonyl, 8-hydroxy-desoxyguanosine, glutathione, superoxide dismutase, myeloperoxidase, TNF-α, IL-1β and cytokine-induced neutrophils chemoattractant-1. In addition, western blotting was used to determine the expression of p38 MAPK, P-p38 MAPK, P-JNk, JNK, Bcl-xl, Bax and cleaved caspase-3. Nuclear translocation of NF-κB was assessed by electrophoretic mobility shift assay. Gastric mucosa structure and mucosal epithelial cells apoptosis were measured at 12h post-stress. Our present study showed that hydrogen treatment lessened the stress-induced lipid peroxidation, protein carbonyl and DNA oxidant and improved tissue antioxidant potential. In addition, hydrogen mitigated inflammatory response and neutrophils infiltration with suppressing the activity of P-p38 MAPK, P-JNk and NF-κB. Importantly, hydrogen ameliorated gastric mucosa damage with preventing cell apoptosis. Furthermore, the up-regulation of cleaved caspase-3, Bax and down-regulation of Bcl-xl expression were blocked by hydrogen treatment. In conclusion, hydrogen treatment effectively ameliorated stress-associated gastric mucosa damage via its anti-oxidant, anti-inflammatory and anti-apoptotic effects.",Positive,Rat,Stomach,Gastric Ulcer,Stress Ulcer,Saline (Dissolved),Neutral,Injection,,,China
