First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Designation,Topic,Country
"Dixon, Brandon Joseph","Tang, Jiping","Zhang, John H.",The evolution of molecular hydrogen: a noteworthy potential therapy with clinical significance ,2013,Medical Gas Research,10.1186/2045-9912-3-10 ,"Studies on molecular hydrogen have evolved tremendously from its humble beginnings and have continued to change throughout the years. Hydrogen is extremely unique since it has the capability to act at the cellular level. Hydrogen is qualified to cross the blood brain barrier, to enter the mitochondria, and even has the ability to translocate to the nucleus under certain conditions. Once in these ideal locations of the cell, previous studies have shown that hydrogen exerts antioxidant, anti-apoptotic, anti-inflammatory, and cytoprotective properties that are beneficial to the cell. Hydrogen is most commonly applied as a gas, water, saline, and can be applied in a variety of other mediums. There are also few side effects involving hydrogen, thus making hydrogen a perfect medical gas candidate for the convention of novel therapeutic strategies against cardiovascular, cerebrovascular, cancer, metabolic, and respiratory diseases and disorders. Although hydrogen appears to be faultless at times, there still are several deficiencies or snares that need to be investigated by future studies. This review article seeks to delve and comprehensively analyze the research and experiments that alludes to molecular hydrogen being a novel therapeutic treatment that medicine desperately needs. ",Review,Oxidative Stress/General Health,United States
"Qian, Li-Ren","Shen, Jianliang; Chuai, Yunhai","Cai, Jianming",Hydrogen as a new class of radioprotective agent,2013,International Journal of Biological Sciences,10.7150/ijbs.7220 ,"It is well known that most of the ionizing radiation-induced damage is caused by hydroxyl radicals (·OH) follows radiolysis of H2O. Molecular hydrogen (H2) has antioxidant activities by selectively reducing ·OH and peroxynitrite(ONOO-). We firstly hypothesized and demonstrated the radioprotective effect of H2 in vitro and in vivo, which was also repeated on different experimental animal models by different departments. A randomized, placebo-controlled study showed that consumption of hydrogen-rich water reduces the biological reaction to radiation-induced oxidative stress without compromising anti-tumor effects. These encouraging results suggested that H2 represents a potentially novel preventative strategy for radiation-induced oxidative injuries. H2 is explosive. Therefore, administration of hydrogen-rich solution (physiological saline/pure water/other solutions saturated with H2) may be more practical in daily life and more suitable for daily consumption. This review focuses on major scientific and clinical advances of hydrogen-rich solution/H2 as a new class of radioprotective agent. ",Review,Radioprotection,China
"Qian, Li-Ren",,"Shen, Jianliang",Hydrogen therapy may be an effective and specific novel treatment for Acute Graft-versus-host disease (GVHD),2013,Journal of Cellular and Molecular Medicine,10.1111/jcmm.12081,"Allogeneic haematopoietic stem cell transplantation (HSCT) has been widely used for the treatment of haematological malignant and non-malignant haematologic diseases. However, acute graft-versus-host disease (aGVHD) is a kind of severe complication of HSCT limiting its application. Cytokines such as tumour necrosis factor-α (TNF-α), IL-6 play an extremely important role in the formation and development of aGVHD. Besides, the oxidation phenomena and/or the formation of free radicals have been suggested to be causally related to various haematological disorders including aGVHD. Reactive oxygen species (ROS), such as hydroxyl radicals, play an important role in the formation and development of aGVHD. Hydrogen has been reported to have the ability to inhibit levels of cytokines such as TNF, IL-6 in vivo. Our recent studies provided evidence that hydrogen inhalation can selectively reduce cytotoxic oxygen radicals and exert antioxidant effects. Therefore, we suggested that hydrogen may have therapeutic effects on aGVHD. This hypothesis entails many experimentally testable predictions. We propose the experimental study by detecting complete blood counts (CBC) and Clinic signs of aGVHD mice. We also propose to detect the levels of TNF-α, IL-2, IL-1β, IL-6 which play important roles in the pathogenesis of aGVHD. To discover potential mechanisms of the therapeutic effects of hydrogen on the aGVHD model, we will examine gene-expression profiles. This study will open a new therapeutic avenue combining the field of therapeutic medical gases and aGVHD. This theory is original and probably of importance, because therapeutic medical gases have never been used for aGVHD previously.",Hypothesis,Surgery/Transplantation,China
"Deng, Jiao","Lei, Chong; Chen, Yu; Fang, Zongping; Yang, Qianzi; Zhang, Haopeng; Cai, Min; Shi, Likai; Dong, Hailong","Xiong, Lize",Neuroprotective Gases - Fantasy or Reality for Clinical Use?,2014,Progress in Neurobiology,10.1016/j.pneurobio.2014.01.001,"The neuroprotective properties for certain medical gases have been observed for decades, leading to extensive research that has been widely reported and continues to garner interest. Common gases including oxygen, hydrogen, carbon dioxide and nitric oxide, volatile anesthetics such as isoflurane, sevoflurane, halothane, enflurane and desflurane, non-volatile anesthetics such as xenon and nitrous oxide, inert gases such as helium and argon, and even gases classically considered to be toxic (e.g., hydrogen sulfide and carbon monoxide) have all been supported by the evidence alluding to their use as potential neuroprotective agents. A wide range of neural injury types such as ischemic/hemorrhagic, stroke, subarachnoid hemorrhage, traumatic brain injury, perinatal hypoxic–ischemic brain injuries, neurodegenerative disease as well as spinal cord ischemia have been used as platforms for studying the neuroprotective effects of these gases, yet until now, none of the gases has been widely introduced into clinical use specifically for protection against neural injury. Insufficient clinical data together with contradictory paradigms and results further hinders the clinical trials. However, pre-clinical models suggest that despite the various classes of gases and the broad range of injuries to which medical gases confer, protection, several underlying mechanisms for their neuroprotective properties are similar. In this review, we summarize the literature concerning the neuroprotective effect of each gas and its underlying mechanisms, extract common targets reported for the neuroprotective effects of different gases, highlight the conflicting observations from clinical trials and further discuss the possible hindrances impeding clinical applications in order to propose future research perspectives and therapeutic exploitations.",Review,Brain Health,China
"Fernandez-Gajardo, Rodrigo","Matamala, Jose Manuel; Carrasco, Rodrigo; Gutierrez, Rodrigo; Melo, Romulo","Rodrigo, Ramon",Novel Therapeutic Strategies for Traumatic Brain Injury: Acute Antioxidant Reinforcement,2014,CNS Drugs,10.1007/s40263-013-0138-y,"Traumatic brain injury (TBI) is the most important cause of disability in individuals under the age of 45 years and thus represents a significant social and economic burden. Evidence strongly suggests that oxidative stress is a cornerstone event leading to and propagating secondary injury mechanisms such as excitotoxicity, mitochondrial dysfunction, apoptosis, autophagy, brain edema, and inflammation. TBI has defied conventional approaches to diagnosis and therapy development because of its heterogeneity and complexity. Therefore, it is necessary to explore alternative approaches to therapy development for TBI. The aim of this review is to present a therapeutic approach for TBI, taking into account the evidence supporting the role for oxidative stress in the pathophysiological processes of secondary brain injury. The role of agents such as mitochondria-targeted antioxidants (melatonin and new mitochondria-targeted antioxidants), nicotinamide adenine dinucleotide phosphate (NADPH) inhibitors (antioxidant vitamins and apocynin), and other compounds having mainly antioxidant properties (hydrogen-rich saline, sulforaphane, U-83836E, omega-3, and polyphenols) is covered. The rationale for innovative antioxidant therapies based on current knowledge and particularly the most recent studies regarding this field is discussed. Particular considerations and translational potential of new TBI treatments are examined and a novel therapeutic proposal for TBI is presented.",Review,Brain Health,Chile
"Huang, Lei","Applegate, Patricia M.; Gatling, Jason W.; Mangus, Dustin B.; Zhang, John","Applegate 2nd, Richard L.",A systematic review of neuroprotective strategies after cardiac arrest: from bench to bedside (part II-comprehensive protection) ,2014,Medical Gas Research,10.1186/2045-9912-4-10 ,"Neurocognitive deficits remain a significant source of morbidity in survivors of cardiac arrest. We conducted a literature review of treatment protocols designed to evaluate neurologic outcome and survival following global cerebral ischemia associated with cardiac arrest. The search was limited to investigational therapies that were implemented either during cardiopulmonary resuscitation or after return of spontaneous circulation in studies that included assessment of impact on neurologic outcome. Given that complex pathophysiology underlies global brain hypoxic ischemia following cardiac arrest, neuroprotective strategies targeting multiple stages of neuropathologic cascades should promise to improve survival and neurologic outcomes in cardiac arrest victims. In Part II of this review, we discuss several approaches that can provide comprehensive protection against global brain injury associated with cardiac arrest, by modulating multiple targets of neuropathologic cascades. Pharmaceutical approaches include adenosine and growth factors/hormones including brain-derived neurotrophic factor, insulin-like growth factor-1 and glycine-proline-glutamate, granulocyte colony stimulating factor and estrogen. Preclinical studies of these showed some benefit but were inconclusive in models of global brain injury involving systemic ischemia. Several medical gases that can mediate neuroprotection have been evaluated in experimental settings. These include hydrogen sulfide, hyperbaric oxygen and molecular hydrogen. Hyperbaric oxygen and molecular hydrogen showed promising results; however, further investigation is required prior to clinical application of these agents in cardiac arrest patients. ",Review,Brain Health,United States
"Takeuchi, Satoru","Mori, Kentaro; Arimoto, Hirohiko; Fujii, Kazuya; Nagatani, Kimihiro; Tomura, Satoshi; Otani, Naoki; Osada, Hideo","Wada, Kojiro",Effects of intravenous infusion of hydrogen-rich fluid combined with intra-cisternal infusion of magnesium sulfate in severe aneurysmal subarachnoid hemorrhage: Study protocol for a randomized controlled trial,2014,BMC Neurology,10.1186/s12883-014-0176-1,"Background The failures of recent studies intended to prevent cerebral vasospasm have moved the focus of research into delayed cerebral ischemia away from cerebral artery constriction towards other mechanisms. Recent accumulating evidence has suggested that early brain injury is also involved in the development of delayed cerebral ischemia, and that hydrogen can prevent early brain injury. Therefore, we have established a combination therapy of intravenous hydrogen infusion and intra-cisternal magnesium sulfate infusion for the treatment of both early brain injury and cerebral vasospasm. The present randomized controlled clinical trial is designed to investigate the effects of this novel therapeutic strategy on the occurrence of cerebral vasospasm, delayed cerebral ischemia, and clinical outcomes after high-grade subarachnoid hemorrhage.Methods This study is a randomized, double-blind, placebo-controlled design to be conducted in two hospitals. A total of 450 patients with high-grade subarachnoid hemorrhage will be randomized to one of three arms: (i) Mg¿+¿H2 group, (ii) Mg group, and (iii) control group. Patients who are assigned to the Mg¿+¿H2 group will receive intra-cisternal magnesium sulfate infusion (2.5 mmol/L) at 20 mL/h for 14 days and intravenous hydrogen-rich fluid infusion (200 mL) twice a day for 14 days. Patients who are assigned to the Mg group will receive intra-cisternal magnesium sulfate infusion (2.5 mmol/L) at 20 mL/h for 14 days and intravenous normal glucose-electrolyte solution (200 mL) without added hydrogen twice a day for 14 days. Patients who are assigned to the control group will receive intra-cisternal Ringer solution without magnesium sulfate at 20 mL/h for 14 days and intravenous normal glucose-electrolyte solution (200 mL) without added hydrogen twice a day for 14 days. Primary outcome measures will be occurrence of delayed cerebral ischemia and cerebral vasospasm. Secondary outcome measures will be modified Rankin scale score at 3, 6, and 12 months and biochemical markers.DiscussionThe present protocol for a randomized, placebo-controlled study of intravenous hydrogen therapy with intra-cisternal magnesium infusion is expected to establish the efficacy and safety of this therapeutic strategy.Trial registrationUMIN-CTR: UMIN000014696.",Study Protocol,Brain Health,Japan
"Shen, Mei-Hua","Zhang, Hongying; Yu, Congjun, Wang, Fan","Sun, Xue-Jun",A review of experimental studies of hydrogen as a new therapeutic agent in emergency and critical care medicine,2014,Medical Gas Research,10.1186/2045-9912-4-17 ,"Hydrogen is the most abundant chemical element in the Universe, but is seldom regarded as a therapeutic agent. Recent evidence has shown that hydrogen is a potent antioxidative, antiapoptotic and anti-inflammatory agent and so may have potential medical applications in cells, tissues and organs. There are several methods to administer hydrogen, such as inhalation of hydrogen gas, aerosol inhalation of a hydrogen-rich solution, drinking hydrogen dissolved in water, injecting hydrogen-rich saline (HRS) and taking a hydrogen bath. Drinking hydrogen solution (saline/pure water/other solutions saturated with hydrogen) may be more practical in daily life and more suitable for daily consumption. This review summarizes the findings of recent studies on the use of hydrogen in emergency and critical care medicine using different disease models. ",Review,Critical Care Medicine,China
"Qi, L.","Zhang, L.","Zhang, Z.",Hydrogen research in ophthalmology,2014,Chinese Journal of Experimental Ophthalmology,10.3760/cma.j.issn.2095-0160.2014.11.019,"Oxidative stress is thought to be associated with many common ophthalmic diseases. Recently studies showed that hydrogen is an antioxidant, and it can selectively reduce the hydroxyl radicals and therefore is used to the prevention and treatment of many diseases, such as retinal neovascularization disease, diabetic retinopathy, retinal ischemia-reperfusion injury, retinal light-injury, etc. Also, hydrogen has a small molecular weight and good water-and lipid-solubility, so it can diffuse freely through the cell membrane toward organelles like mitochondria to exert its treating effect. The research progresses in the application of hydrogen in ophthalmology were summarized.",Review,Eye Health,China
"Shin, Woosuck",,,Medical applications of breath hydrogen measurements,2014,Analytical and Bioanalytical Chemistry,10.1007/s00216-013-7606-6 ,"In this article, technical developments in breath analysis and its applications in the field of clinical diagnosis and the monitoring of various symptoms, particularly molecular hydrogen in breath, are introduced. First, a brief overview of the current uses of the hydrogen breath test is provided. The principles of the test and how hydrogen can be used as a biomarker for various symptoms, and monitoring microbial metabolism, are introduced. Ten case-study applications of breath hydrogen measurements for which hydrogen exhibits beneficial effects for diagnosis, including the contexts of oxidative stress, gastrointestinal disease, and metabolic disorders, are discussed. The technologies and problems involved in breath hydrogen testing, sampling, pretreatment, and detection in exhaled breath are discussed, and research including current analytical systems and new sensors is focused on in the context of hydrogen detection. ",Review,Hydrogen Biology,Japan
"Henry, Marc",,"Chambron, Jacques",Risks associated with unrestricted consumption of alkaline-reduced water,2014,Bulletin de l'Academie Nationale de Madecine,26753412,"Consumption of alkaline reduced water produced by domestic electrolysis devices was approved in Japan in 1965 by the Minister of Health, Work and Wellbeing, for the treatment of gastrointestinal disorders. Today, these devices are also freely available in France. The commercial information provided with the devices recommends the consumption of 1 to 1.5 liters per day, not only for gastrointestinal disorders but also for numerous other illnesses such as diabetes, cancer and inflammation. Academic research on this subject has been undergoing in Japan since 1990, and has established that the active ingredient is dissolved dihydrogen, which eliminates the free radical HO· in vivo. It has also been shown that electrode degradation during use of the devices releases highly reactive platinum nanoparticles, the toxicity of which is unknown. The authors of this report recommend alerting the French health authorities to the uncontrolled availability of these devices that generate drug substances and should therefore be subject to regulatory requirements. ",Review,Hydrogen Safety,France
"Li, P.","Su, J.","Zhang, M.",Protective effect of hydrogen on colon injuries,2014,Chinese Journal of Gastroenterology,10.3969/j.issn.1008-7125.2014.10.014,"Hydrogen is a therapeutic medical gas. Studies have shown that hydrogen has antioxidant, anti-inflammatory and anti-apoptotic effects, selectively inhibiting cytotoxic oxygen free radicals, and playing a protective role in ischemia-reperfusion injury, inflammatory diseases, metabolic syndrome and various other diseases. In this article, the biological effect, protective effect on colon injuries and the potential of clinical application of hydrogen were summarized. ©, 2014, Shanghai Institute of Digestive Diseases. All right reserved.",Review,Intestinal Health,China
"Lv, C.Y.","Zhang, Y.; He, S.M.","Yu, M.X.",Application and research progress of hydrogen in metabolic diseases,2014,Fudan University Journal of Medical Sciences,10.3969/j.issn.1672-8467.2014.05.024,"Oxidative stress and inflammation play important roles in many diseases, including metabolic diseases, such as diabetes, dyslipidemia, metabolic syndrome, obesity, atherosclerosis and so on. However, the therapeutic windows of a majority of anti-oxidant and anti-inflammatory medicines at present are narrow. So there is a need for a more effective and safer anti-oxidant and anti-inflammatory medicine in clinic. A large number of recent studies show that hydrogen has anti-oxidant and anti-inflammatory effects on a variety of animal models of ischemia-reperfusion injury, inflammation, neurological diseases, digestive diseases and metabolic diseases, suggesting that hydrogen is a potential drug for metabolic diseases. This article reviews the latest development of the researches related and prospects for future research directions.",Review,Metabolic Health,China
"Noda, Mami","Fujita, Kyota; Ohsawa, Ikuroh; Ito, Masafumi","Ohno, Kinji",Multiple Effects of Molecular Hydrogen and its Distinct Mechanism,2014,Journal of Neurological Disorders,10.4172/2329-6895.1000189,"Molecular hydrogen (H2) has been reported to be effective for a variety of disorders and its effect has been ascribed to a selective scavenge of hydroxyl radicals (•OH) at the beginning. Consumption of H2 was either by inhalation, drinking H2-containing water (H2 water), or infusion of H2-containing saline. Among various disorders, animal model of ischemic injury and Parkinson’s disease showed significant amelioration after H2 treatment. The mechanism of neuroprotection, however, is not simple. Multiple mechanisms may exist to produce acute and chronic effect. For chronic effect, H2-induced neuroprotection takes several days to develop and lasted several days, suggesting that H2 may work as a modulator of signal transduction as indicated by allergy model. The evidence that drinking H2 water was the most effective way rather than inhaling H2 in Parkinson’s disease model animal led to the finding that H2 induces ghrelin production and release from the stomach by activating β1 adrenergic receptors. The distinct mechanism due to the brain-stomach connection may help to understand the broad spectrum of H2 function. In addition, clinical trials have shown promising results.",Review,Oxidative Stress/General Health,Japan
"Ohta, Shigeo",,,"Molecular hydrogen as a preventive and therapeutic medical gas: initiation, development and potential of hydrogen medicine ",2014,Pharmacology and Therapeutics,10.1016/j.pharmthera.2014.04.006 ,"Molecular hydrogen (H2) has been accepted to be an inert and nonfunctional molecule in our body. We have turned this concept by demonstrating that H2 reacts with strong oxidants such as hydroxyl radical in cells, and proposed its potential for preventive and therapeutic applications. H2 has a number of advantages exhibiting extensive effects: H2 rapidly diffuses into tissues and cells, and it is mild enough neither to disturb metabolic redox reactions nor to affect signaling reactive oxygen species; therefore, there should be no or little adverse effects of H2. There are several methods to ingest or consume H2; inhaling H2 gas, drinking H2-dissolved water (H2-water), injecting H2-dissolved saline (H2-saline), taking an H2 bath, or dropping H2-saline into the eyes. The numerous publications on its biological and medical benefits revealed that H2 reduces oxidative stress not only by direct reactions with strong oxidants, but also indirectly by regulating various gene expressions. Moreover, by regulating the gene expressions, H2 functions as an anti-inflammatory and anti-apoptotic, and stimulates energy metabolism. In addition to growing evidence obtained by model animal experiments, extensive clinical examinations were performed or are under investigation. Since most drugs specifically act to their targets, H2 seems to differ from conventional pharmaceutical drugs. Owing to its great efficacy and lack of adverse effects, H2 has promising potential for clinical use against many diseases. ",Review,Oxidative Stress/General Health,Japan
"Zhai, Xiao","Chen, Xiao; Ohta, Shigeo","Sun, Xue-Jun",Review and prospect of the biomedical effects of hydrogen,2014,Medical Gas Research,10.1186/s13618-014-0019-6,"Hydrogen, the simplest gas in nature, was recently reported as a therapeutic antioxidant through selectively reducing cytotoxic oxygen radicals. Though hundreds of studies on curative effects of hydrogen were published and justified, the mechanism remains unclear. We proposed several promising directions in this area by relatively in-depth analysis. Firstly, the physiological function of hydrogen was regarded neutralizing free radicals at a low dose; however, physiological effects of an excessive dose of hydrogen were necessary for the comprehensive understanding. Secondly, the therapeutic effects and mechanisms were explained by anti-oxidative, anti-inflammatory and apoptosis ways, while the limitation was obvious and needed update. Thirdly, further studies might be focused on the possible networks including effecters and receptors of hydrogen, and the evolutionary perspective was a good point of view. In conclusion, this review might be a reference and guidance for relative scholars.",Review,Oxidative Stress/General Health,China
"Brenner, Steven",,,"Parkinson's disease may be due to failure of melanin in the Substantia Nigra to produce molecular hydrogen from dissociation of water, to protect the brain from oxidative stress ",2014,Medical Hypotheses,10.1016/j.mehy.2014.01.013 ,"Melanin, a hybrid electronic/ionic conductor may have the potential to split the water molecule into molecular hydrogen and molecular oxygen. Molecular hydrogen is an antioxidant and may be instrumental in preventing the excessive oxidation leading to Parkinson's disease. Melanin, located in the Substantia Nigra, deteriorates in Parkinson's disease so may be related to the development and progression of the disease, since molecular hydrogen would no longer be generated as it deteriorates. Environmental toxins, thought to be related to development of Parkinson's disease, may cause deterioration of intrinsic melanin, since it is a chelator which would collect such environmental contaminants, but its function of splitting the water molecule into molecular hydrogen and oxygen could be effected as a consequence. Restoring melanin function or providing supplemental molecular hydrogen might be potential treatments for Parkinson's disease. ",Hypothesis,Parkinson's Disease,United States
"Khademi, Sara",,"Abdollahi, Hamid",Application of Hydrogen Producing Microorganisms in Radiotherapy: An Idea,2014,Iranian Journal of Public Health,https://www.researchgate.net/publication/265171830_Application_of_Hydrogen_Producing_Microorganisms_in_Radiotherapy_An_Idea,No abstract available,Editorial,Radioprotection,Iran
"Xie, Keliang","Liu, Lingling; Yu, Yonghao","Wang, Guolin",Hydrogen gas presents a promising therapeutic strategy for sepsis ,2014,BioMed Research International,10.1155/2014/807635 ,"Sepsis is characterized by a severe inflammatory response to infection. It remains a major cause of morbidity and mortality in critically ill patients despite developments in monitoring devices, diagnostic tools, and new therapeutic options. Recently, some studies have found that molecular hydrogen is a new therapeutic gas. Our studies have found that hydrogen gas can improve the survival and organ damage in mice and rats with cecal ligation and puncture, zymosan, and lipopolysaccharide-induced sepsis. The mechanisms are associated with the regulation of oxidative stress, inflammatory response, and apoptosis, which might be through NF- κ B and Nrf2/HO-1 signaling pathway. In this paper, we summarized the progress of hydrogen treatment in sepsis. ",Review,Sepsis,China
"Dark, John",,,Hydrogen in Lung Reconditioning-More Than Just Inflation,2014,Transplantation,10.1097/TP.0000000000000311,No abstract available,Editorial,Surgery/Transplantation,United Kingdom
"Drabek, Tomas",,"Kochanek, Patrick M.",Improving Outcomes from Resuscitation: From Hypertension and Hemodilution to Therapeutic Hypothermia to H2,2014,Circulation,10.1161/CIRCULATIONAHA.114.013566,No abstract available,Editorial,Surgery/Transplantation,United States
"Xie, Fei",,"Ma, Xuemai",Molecular Hydrogen and its Potential Application in Therapy of Brain Disorders,2015,Brain Disorders and Therapy,10.4172/2168-975X.1000154,No abstract available,Editorial,Brain Health,China
"Chen, Yuanli","Zong, Chunlin; Guo, Yuxuan","Tian, Lei",Hydrogen-rich saline may be an effective and specific novel treatment for osteoradionecrosis of the jaw ,2015,Therapeutics and Clinical Risk Management,10.2147/TCRM.S90770 ,"Hydrogen, a therapeutic medical gas, can exert antioxidant activity via selectively reducing cytotoxic reactive oxygen species such as hydroxyl radicals. Hydrogen-rich saline is an alternative form of molecular hydrogen that has been widely used in many studies, including metabolic syndrome, cerebral, hepatic, myocardial ischemia/reperfusion, and liver injuries with obstructive jaundice, with beneficial results. Osteoradionecrosis of the jaw is a serious complication following radiotherapy for head and neck cancers. It has long been known that most radiation-induced symptoms are caused by free radicals generated by radiolysis of H2O, and the hydroxyl radical is the most reactive of these. Reducing the hydroxyl radical can distinctly improve the protection of cells from radiation damage. We hypothesized that hydrogen-rich saline might be an effective and specific method of managing and preventing osteoradionecrosis of the jaw. ",Hypothesis,Cancer,China
"Jia, L.Y.","Long, J.G.","Liu, Jiankang",The Protective Effects and Mechanisms of Molecular Hydrogen in Cardiac Injury,2015,Progress in Biochemistry and Biophysics,10.16476/j.pibb.2015.0032,"The biomedical effects of molecular hydrogen have aroused public and academic interest in recent years. Because of its high diffusivity and very small structure, hydrogen has the ability not only to cross the blood brain barrier, but also to infiltrate through the cytomembrane to the cytoplasm, mitochondria, nuclei, endoplasmic reticulum and other subcellular structures, even to interact inner motif of biomacromolecules. It has been proven that hydrogen shows effects on the prevention and treatment of cardiac injury induced by radiation, ischemia-reperfusion, cardiac allografts, cardiopulmonary resuscitation and cardiopulmonary bypass nearly without side effects. These effects have been suggested to be associated with its antioxidant activity, anti-inflammatory effect, anti-apoptosis and role in regulating of mitochondrial metabolism, but further studies are greatly needed for better and deeper understanding of the protective effects of hydrogen in cardiac injury.",Review,Cardiopulmonary Health,China
"Lazar, Harold L.",,,Molecular hydrogen: A novel therapy for the treatment of pulmonary hypertension ,2015,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2015.06.004 ,No abstract available,Editorial,Cardiopulmonary Health,United States
"Ostojic, Sergej M.",,,Molecular hydrogen in sports medicine: new therapeutic perspectives,2015,International Journal of Sports Medicine,10.1055/s-0034-1395509 ,"In the past 2 decades, molecular hydrogen emerged as a novel therapeutic agent, with antioxidant, anti-inflammatory and anti-apoptotic effects demonstrated in plethora of animal disease models and human studies. Beneficial effects of molecular hydrogen in clinical environment are observed especially in oxidative stress-mediated diseases, such as diabetes mellitus, brain stem infarction, rheumatoid arthritis, or neurodegenerative diseases. A number of more recent studies have reported that molecular hydrogen affects cell signal transduction and acts as an alkalizing agent, with these newly identified mechanisms of action having the potential to widen its application in clinical medicine even further. In particular, hydrogen therapy may be an effective and specific innovative treatment for exercise-induced oxidative stress and sports injury, with potential for the improvement of exercise performance. This review will summarize recent research findings regarding the clinical aspects of molecular hydrogen use, emphasizing its application in the field of sports medicine. ",Review,Excercise/Sport,Serbia
"Cao, Dong","Ye, Zhouheng","Liu, Wenwu",Absorption and Release of Hydrogen Gas in Body,2015,Hydrogen Molecular Biology and Medicine,10.1007/978-94-017-9691-0_2,"The definition of inert gases is different in the fields of chemistry and physiology. Physiologically, inert gases mainly include hydrogen, helium, and nitrogen and refer to those that cannot react with other substances in human body although hydrogen is a highly active gas in chemistry. Under normal condition, the human body is saturated by nitrogen. When we inhale another inert gas at a high pressure or normal pressure, the new inert gas may enter the human body in the drive of pressure gradient force. The law of saturation and desaturation of inert gases has been summarized by Haldane, a Scottish physiologist. In this chapter, we discuss the saturation and desaturation of inert gases, with nitrogen as an example. Drinking hydrogen water or injection with hydrogen saline has similar pattern in the absorption and washout of hydrogen in human body to the inhalation of hydrogen except for the high velocity for hydrogen. Also, since hydrogen diffuse rapidly, it could release through skin when the concentration of hydrogen is out of capacity.",Review,Hydrogen Biology,China
"Kurokawa, Ryosuke","Seo, Tomoki; Sato, Bunpei; Hirano, Shin-Ichi","Sato, Fumitake","Convenient methods for ingestion of molecular hydrogen: drinking, injection, and inhalation",2015,Medical Gas Research,10.1186/s13618-015-0034-2 ,"Molecular hydrogen (H2) is clinically administered; however, in some hospitals, H2 is given to patients without consideration of its safe use. In the present study, we prepared convenient and safe devices for the drinking of super-saturated H2 water, for intravenous drip infusion of H2-rich saline, and for the inhalation of H2 gas. In order to provide useful information for researchers using these devices, the changes in H2 concentration were studied. Our experimental results should contribute to the advance of non-clinical and clinical research in H2 medicine. ",Study Protocol,Hydrogen Biology,Japan
"Ostojic, Sergej M.",,,Eumelanin-driven production of molecular hydrogen: A novel element of skin defense? ,2015,Medical Hypotheses,10.1016/j.mehy.2015.04.014 ,"Molecular hydrogen (H2, dihydrogen) has been recognized as a unique cell protectant. Dihydrogen protects tissues against oxidative injuries by selectively reducing reactive oxygen species (ROS). It seems that melanin, natural pigment of skin and hair, might produce endogenous hydrogen. The protective role of skin melanin (eumelanin) could be due to its capacity for molecular hydrogen production. An effective pooling of dihydrogen by eumelanin should be considered as a novel element of skin defense system against oxidative stress-related disorders. ",Editorial,Hydrogen Biology,Serbia
"Liu, Wenwu","Sun, Xuejun","Ohta, Shigeo",Hydrogen Element and Hydrogen Gas,2015,Hydrogen Molecular Biology and Medicine,10.1007/978-94-017-9691-0_1,"Features of hydrogen, discovery history of hydrogen, and physical and chemical properties, especially those correlated with the biological effects of hydrogen, are important for the understanding of mechanisms underlying the biological effects of hydrogen. In this chapter, we introduce the formulation, discovery, and physical and chemical properties of hydrogen. Most substances in the universe are composed of hydrogen element. Even human beings, the most complex form of life on Earth, are composed of hydrogen element. However, few studies have been conducted to focus on the biological effects of hydrogen before the magically biological effects of hydrogen are revealed by scientists in recent years. A secret may still be hidden in these wonder effects of hydrogen. Though hydrogen has a considerable low solubility in water, its concentration can still approach 0.9 mmol/L. Hydrogen, at this concentration, has been found to be able to confer its protective effects in biological system. Hydrogen is a gas molecule with relatively constant reducibility, an important chemical property of hydrogen. It has been accepted that hydrogen cannot directly interact with substances in biological body and that is why we use hydrogen in diving. However, recent studies reveal that hydrogen is able to neutralize some free radicals conferring protective effects, which maybe a chemical mechanism underlying the biological effects of hydrogen.",Chapter,Hydrogen Chemistry,China
"Zhai, Xiao","Nakao, Atsunori","Sun, Xue-Jun",Detection Techniques for Hydrogen,2015,Hydrogen Molecular Biology and Medicine,10.1007/978-94-017-9691-0_4,"It is important to observe the pharmacokinetics in vivo for hydrogen bioresearch. Measuring the concentration of hydrogen is one of the key points in this study. Several methods have been developed to detect the concentration, including the gas chromatography technique, the rheophore detection technique, and the oxidimetry technique. The gas chromatography is the most classical, which is capable of quantitatively analyzing the minimum amount and even trace the amount of hydrogen. The rheophore detection measures a large scale from a minimum amount in the tissue to a high amount in the solution. The oxidimetry technique is usually used in the determination of the chemical composition of a hydrogen product. The advantages and disadvantages of these detection techniques are discussed with particular attention on the practical use.",Chapter,Hydrogen Chemistry,China
